par_id,rmse,nse,r,bias,mae,nmae
p00065,3.04615184946937,0.769731651511446,0.952462621283689,2.25167642335202,2.36359769338295,0.383290269269978
p00066,4.73057427399273,0.444660097628941,0.858897843223465,2.8636220397056,3.15492310696592,0.416006016093259
p00067,3.66106803064269,0.667381235187124,0.933683111923258,2.7118628751779,2.78945037775345,0.413651007300533
p00068,3.84174691370364,0.633791704193001,0.941948226380879,3.05216515911906,3.08912352886176,0.444516871238757
p00069,4.84931874872422,0.416511717361231,0.879518458109507,3.370285884993,3.5635654624501,0.46408395631579
p00070,5.97130544088276,0.115273065170603,0.862874830400668,4.53073762205088,4.58832549804713,0.555089636707983
p00071,4.82518898494316,0.422223593126649,0.849283173148127,2.83683647572855,3.19336213788891,0.416114751426826
p00072,6.41735801408344,-0.0218407390463047,0.882633082456458,5.25327352994441,5.25864032431719,0.614937168838154
p00073,4.78613738513988,0.431617107596319,0.917621473602589,3.79728665209284,3.81956517078156,0.488681602268706
p00074,5.07855924998158,0.3599525149137,0.852607912381703,3.24442186263362,3.44689219193942,0.437918389997312
p00075,5.04004893357782,0.369710340496245,0.93540840870738,4.31345465196595,4.32198710179872,0.564861986550701
p00076,6.12882023931798,0.0679816925855347,0.848962770489637,4.54056640895307,4.64995183095599,0.555327640455412
p00077,3.16271951568738,0.751771007205302,0.94425785767963,2.25704848953195,2.36741672060645,0.378755376376486
p00078,4.27725252006916,0.545994692482514,0.936401620836145,3.45815737589095,3.50287393848701,0.480420565745661
p00079,6.27649052700158,0.0225277618945531,0.853928900155772,4.77426410158265,4.84245651590654,0.583654342540772
p00080,2.6764152110881,0.8222383277163,0.9477423107191,1.61003735453403,1.86951675462137,0.323268657423105
p00081,5.83494776319377,0.155218059645465,0.867810004706549,4.40182095814468,4.50503371597792,0.540616941333939
p00082,4.62866113344873,0.468404311157586,0.909224977697506,3.51731445590453,3.5698155621886,0.479476748914438
p00083,6.1662084614854,0.056575648713835,0.861624824478741,4.72461001937089,4.83470494563973,0.587708499032756
p00084,5.26761194206205,0.311509070072196,0.85201479706861,3.49193572988609,3.68818963981784,0.457476920842079
p00085,6.04976191122745,0.091745172512233,0.881973929503706,4.82577847521543,4.85733685501113,0.584428223577442
p00086,5.28548093268399,0.306830097953337,0.934788914909346,4.55898589229589,4.56530337684188,0.568617814543982
p00087,6.11935941638293,0.0708569129685821,0.855407995582137,4.61267313402573,4.68631113131994,0.570350362433958
p00088,3.97584336080149,0.607725859091593,0.923529576541912,2.92841681823876,3.0029865577363,0.422530588416687
p00089,4.26406343923927,0.548853086145147,0.921721153117812,3.26880013578958,3.30960612966044,0.463067644253908
p00090,6.10750827453481,0.0743234193666926,0.858672080364359,4.63695044601192,4.68946714930594,0.571533580872733
p00091,4.76600151809337,0.436311076566547,0.940502157877174,4.06219428170549,4.06984997443224,0.52241764717401
p00092,4.42658207143553,0.51374039867467,0.945351408594772,3.75023536316896,3.75886354326253,0.494862026231041
p00093,5.20259514381192,0.328399920902666,0.849804023041234,3.36213471503951,3.55166802295644,0.439360517426423
p00094,6.4211608062567,-0.0231946027089331,0.85008689294607,4.91706850041488,4.98910337144039,0.609059123018647
p00095,4.21479844005183,0.559156167243376,0.892365728504545,2.70843058046193,2.93984637652514,0.405305061618275
p00096,6.35635827810958,-0.00264659897715758,0.835083744972119,4.66364645795737,4.72699692125141,0.567929521146094
p00097,4.94544626518882,0.393065083200293,0.936213891542352,4.2161152855373,4.22474490601213,0.54958913846372
p00098,5.62055586368086,0.216047615052054,0.84583624916003,3.86068495347969,4.06265778558039,0.488996991937092
p00099,3.5735219974133,0.683142788566847,0.946637249722066,2.7994169028488,2.87833517674325,0.431435965976779
p00100,4.88595738331707,0.407661412495804,0.92545155088209,4.02279155095281,4.09661434410791,0.543652311456482
p00101,5.16995599123736,0.33680022745593,0.825430940070798,2.92140867323993,3.50019769945869,0.442897573602215
p00102,2.80704646565077,0.804462367950273,0.959229669208789,2.05992684224959,2.17285488980139,0.364422848115937
p00103,4.06232866730893,0.590531223024908,0.906291326884476,2.74686245359089,2.98243299840591,0.408983974988644
p00104,4.4844418869856,0.500945530832519,0.882972305606206,2.87713227331307,3.06771568641805,0.388645201070493
p00105,3.11973527625001,0.758472472412208,0.945740998096948,2.21441615038596,2.3202965592191,0.368324931128173
p00106,5.56886059962116,0.230509310218466,0.830880894719233,3.60293027100541,3.77996155913461,0.465291278623171
p00107,2.71882693633882,0.816559900953021,0.959703308618363,1.98773329406346,2.11702671545224,0.367859719316447
p00108,4.49715707343999,0.498111480619836,0.93373502201758,3.69145314318558,3.72331085359041,0.509602832189017
p00109,4.72949650895168,0.44491311458504,0.90404899460588,3.54820115726065,3.6714472130283,0.476307592491889
p00110,5.7575380761003,0.177484077970752,0.87419223445817,4.40127525803408,4.50740304345419,0.550803766198531
p00111,5.78829245532118,0.168557768258741,0.871277316738272,4.42711344858927,4.46415917210893,0.549922941298103
p00112,4.39316303731567,0.521054838580249,0.94009285700625,3.66331974240588,3.67917033852273,0.507498811020277
p00113,5.18429235335927,0.33302413803469,0.880459824366779,3.77676187735646,3.84768023296012,0.475083308229137
p00114,5.28117514966726,0.307862642724345,0.85946377029916,3.65570554283345,3.75035466495144,0.480939800627346
p00115,4.17610841942585,0.567272788017332,0.967388391178037,3.75983651381507,3.7877989644194,0.526185157209262
p00116,3.79242903917569,0.643083952448101,0.950229129656194,3.11669306435368,3.15210539085536,0.466746178383024
p00117,4.46763438378258,0.504748356366396,0.901307910685255,3.22290531738047,3.3017539608136,0.447295642268235
p00118,5.58712825314661,0.225344819126989,0.873848934573064,4.18736012266281,4.24654303499634,0.516491092192707
p00119,4.96561643651278,0.388189373424732,0.951032446534236,4.41119306448681,4.41413643997087,0.57232772070268
p00120,5.39373808801484,0.278144310202982,0.820563819784781,3.17955299142075,3.56332068233026,0.446709746307519
p00121,6.22776698006829,0.0376448269166131,0.842307479231974,4.57705798673238,4.71120983524386,0.569370352459021
p00122,6.10568944712258,0.0748746737138299,0.833648606038749,4.32067812821278,4.44333397553304,0.531240455100333
p00123,5.05484092898525,0.366005248255278,0.867591113775103,3.46225714345974,3.64089873858695,0.475291807996055
p00124,5.03590599050967,0.370746116528893,0.919616225064794,4.12454419921178,4.15990365285873,0.544568752406659
p00125,5.31302182682172,0.2995875191502,0.840798092215517,3.38334932781053,3.64719531249659,0.449420121682822
p00126,5.30488965815318,0.301729996081546,0.888948048422685,4.04161875156833,4.17285323567218,0.524917567680031
p00127,5.20385464355617,0.328074705315323,0.85536426052096,3.45358976363662,3.62069448757454,0.454029847207038
p00128,4.64948139864712,0.463536501639364,0.907387776601111,3.49398070037859,3.60410968780917,0.46992044391994
p00129,5.0330355647787,0.37146325135014,0.894914667187808,3.79811665221681,3.83921577443378,0.467265018731773
p00130,4.11339999103298,0.580112415019866,0.934553109190713,3.24694199555465,3.29368717086567,0.462396776874508
p00131,4.30954277415178,0.539178145406059,0.914003069863388,3.20451169227564,3.31065199011529,0.459131332021948
p00132,4.58208448370044,0.47904901813401,0.951291858001646,4.0133595347814,4.03166951109768,0.54969991351987
p00133,4.54369438432544,0.487670488537155,0.93158537928359,3.71634017344632,3.75808930263278,0.508202119765133
p00134,3.63500109095978,0.672100888899961,0.907725007360348,2.17123410320317,2.51384768183733,0.3815136228436
p00135,4.10358219398775,0.582172568175716,0.957375304394202,3.54142611476782,3.55419360072192,0.50495544435803
p00136,4.16781443322132,0.568989922322852,0.926427838677984,3.20423495244206,3.26525123344112,0.459518044299339
p00137,6.32030738919834,0.00883244416910101,0.887264691912106,5.19677764686542,5.20399532061374,0.607473715162824
p00138,5.74973757551844,0.179711311040216,0.887863460096263,4.56339474379332,4.59149360604715,0.566383676428876
p00139,4.41584553857863,0.516163727308525,0.912875774508292,3.30600695366357,3.38191438078801,0.466068870750526
p00140,2.91086924889036,0.789700879752069,0.95443199431002,2.1197383129096,2.25341380990237,0.370444561443589
p00141,5.56677454148829,0.23108569442986,0.89929588913603,4.47984854127808,4.53265564413186,0.567870923822483
p00142,5.49914267038807,0.249655591464529,0.81698393920779,3.28029139649448,3.67033514124614,0.452893415387739
p00143,5.98985711324067,0.109643213601556,0.8695378549275,4.65331933148378,4.68464859383427,0.579678709564731
p00144,4.07337187393025,0.588244632758828,0.95552656631602,3.486953190465,3.4996616067119,0.483006003348914
p00145,4.89691151320886,0.404919579649087,0.904900139438509,3.7919646492673,3.8199559198125,0.504086084181147
p00146,5.58234640069781,0.226777931732705,0.829797204216203,3.57654785361346,3.75945176800843,0.459455419985056
p00147,4.05872791583502,0.591256788083006,0.961448379635898,3.5542735512232,3.58572707373274,0.508397330797823
p00148,4.9132922337943,0.400931698762587,0.856251717508371,3.11052614824584,3.35852958217695,0.427881136755881
p00149,6.28718487041838,0.019057367708711,0.830391344212802,4.48337506385307,4.57352844048825,0.534557755712995
p00150,5.7422255613728,0.181853320070723,0.818991260590417,3.65242992463504,3.97483575479948,0.481004768115352
p00151,3.93809322348865,0.615139682714382,0.901712327056786,2.49884060463589,2.74021376616802,0.395261030563976
p00152,4.55460491381569,0.485278751630148,0.891086534765113,3.14076770912875,3.26018848731737,0.423209528736762
p00153,4.36330744577167,0.527542466241442,0.869243079356909,2.48892143549152,2.89286916758787,0.386275330530505
p00154,6.06408771949144,0.0874385930890437,0.861078685337027,4.60670460653812,4.66234874221884,0.562285635090379
p00155,6.06062209866446,0.0884813511277485,0.842776396806917,4.38109176026801,4.49847482581666,0.54602112861367
p00156,5.44184237235712,0.265108770947896,0.868098942162971,3.96001450854903,4.1209661454779,0.520642510200194
p00157,5.6038682654237,0.22080436495764,0.831823258958019,3.66095303362031,3.94047049751417,0.481668703741977
p00158,5.01938632523418,0.374867723917598,0.846344248675007,3.08429324107856,3.42193135488772,0.442433341310359
p00159,5.12175790248051,0.349108247581564,0.835022942480654,3.00051409531882,3.43931283250352,0.429756705082871
p00160,3.94103138756941,0.614565189157279,0.912532594213333,2.68195520323646,2.86784080520419,0.405346402001121
p00161,5.6498213194607,0.207862498061656,0.860036525516303,4.10366715029241,4.17982964717288,0.51574105930723
p00162,4.8850475602703,0.407799539311914,0.84774012958334,2.89365517017602,3.31469284371089,0.428991430548504
p00163,5.11465888095946,0.350820949621407,0.900440037108048,3.96081117428563,4.00296577022848,0.503393553393518
p00164,5.08589570018004,0.358191336298417,0.861471501600301,3.37287849438465,3.52351107908417,0.441013146399701
p00165,5.9352108129982,0.125814805523321,0.870311387961907,4.56535118868717,4.62286730579332,0.570228695151079
p00166,4.74223512954095,0.441996602923714,0.913023091710666,3.66070638533966,3.6929400912704,0.450253536532563
p00167,3.89951985381289,0.622642122999266,0.900760028808103,2.43635629849628,2.71303037786479,0.393585438629523
p00168,3.59652279329388,0.679006097824899,0.936384227514249,2.64766246796539,2.75470655775723,0.406086875025985
p00169,5.35067722325324,0.289624160123403,0.916590052034763,4.44144197779551,4.45704342071063,0.565556406186291
p00170,2.6984784486765,0.819295463214805,0.95648704762322,1.89745005405195,2.03673423696701,0.352678294492873
