"Organization","Station.ID","Sample.Date","Sample.Depth","Sodium","Chloride","Sulfate","Y","Z"
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1989-07-17,NA,19,38,23.9,1989.54029680365,-0.604204684117334
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1989-10-08,4,19,38,23.6,1989.76769406393,-0.604204684117334
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1989-10-08,0,19,37,23.6,1989.76769406393,-0.655091867062719
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1990-01-23,1,18,36,23.1,1990.06095890411,-0.705979050008105
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1990-04-23,0,20,39,NA,1990.30742009132,-0.553317501171948
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1990-05-21,0,20,38,24.6,1990.38413242009,-0.604204684117334
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1990-07-16,0,18,38,23,1990.53755707763,-0.604204684117334
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1990-10-11,0,18,37,24,1990.77591324201,-0.655091867062719
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1991-01-29,1,20,40,26,1991.07739726027,-0.502430318226562
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1991-04-22,0,20,40,26,1991.3046803653,-0.502430318226562
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1991-07-15,0,19,39,23,1991.5348173516,-0.553317501171948
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1991-10-07,0,20,39,23,1991.7649543379,-0.553317501171948
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1992-01-21,0,19,40,25,1992.05532786885,-0.502430318226562
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1992-04-13,0,21,41,26,1992.28198998179,-0.451543135281177
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1993-01-25,1,NA,40,24,1993.06643835616,-0.502430318226562
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1993-04-22,0,NA,48,22,1993.3046803653,-0.0953328546634766
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1993-07-19,0,NA,38,20,1993.54577625571,-0.604204684117334
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1993-10-25,0,NA,36.6,21,1993.81426940639,-0.675446740240874
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1994-01-24,1,NA,38.9,23,1994.06369863014,-0.558406219466487
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1994-04-11,0,NA,38.3,NA,1994.274543379,-0.588938529233718
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1994-08-01,200,NA,38.9,20,1994.58139269406,-0.558406219466487
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1994-10-27,0,NA,38.8,19,1994.81974885845,-0.563494937761025
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1995-01-24,1,NA,38.9,NA,1995.06369863014,-0.558406219466487
"LTER","LTER_MO",1996-02-06,1,20.19,41.12,26.81,1996.09904371585,-0.44543667332773
"LTER","LTER_MO",1996-02-06,8,20.87,42.18,26.68,1996.09904371585,-0.391496259405621
"LTER","LTER_MO",1996-02-06,20,50.74,83.74,29.78,1996.09904371585,1.72337506380461
"LTER","LTER_MO",1996-02-06,20,50.28,82.48,27.25,1996.09904371585,1.65925721329342
"LTER","LTER_MO",1996-05-01,0,23.19,43.72,20.06,1996.33117030965,-0.313129997669727
"LTER","LTER_MO",1996-05-01,8,22.86,56.38,19.92,1996.33117030965,0.331101738418856
"LTER","LTER_MO",1996-05-01,8,23.08,43.62,19.92,1996.33117030965,-0.318218715964266
"LTER","LTER_MO",1996-05-01,20,23.12,44.34,20.21,1996.33117030965,-0.281579944243588
"LTER","LTER_MO",1996-08-05,0,20.5,39.51,18.28,1996.59346539162,-0.527365037869801
"LTER","LTER_MO",1996-08-05,4,20.17,39.41,18.1,1996.59346539162,-0.53245375616434
"LTER","LTER_MO",1996-08-05,8,20.37,39.59,18.02,1996.59346539162,-0.52329406323417
"LTER","LTER_MO",1996-08-05,12,23.21,45.01,18.25,1996.59346539162,-0.24748553167018
"LTER","LTER_MO",1996-08-05,12,23.99,45.4,17.95,1996.59346539162,-0.22763953032148
"LTER","LTER_MO",1996-08-05,16,23.6,45.52,16.86,1996.59346539162,-0.221533068368033
"LTER","LTER_MO",1996-08-05,20,23.72,45.35,17.47,1996.59346539162,-0.230183889468749
"LTER","LTER_MO",1996-11-25,0,22.04,23.52,11.91,1996.89959016393,-1.34105109316652
"LTER","LTER_MO",1996-11-25,8,21.72,18.09,9.39,1996.89959016393,-1.61736849655996
"LTER","LTER_MO",1996-11-25,8,24.4,8.12,4.66,1996.89959016393,-2.12471371052546
"LTER","LTER_MO",1997-02-17,1,21.52,21.33,10.81,1997.12945205479,-1.45249402381691
"LTER","LTER_MO",1997-02-17,8,22.59,44.22,22.71,1997.12945205479,-0.287686406197035
"LTER","LTER_MO",1997-02-17,8,25.09,49.31,21.72,1997.12945205479,-0.0286706450050212
"LTER","LTER_MO",1997-05-01,0,25.25,49.05,20.98,1997.32933789954,-0.0419013125708218
"LTER","LTER_MO",1997-05-01,8,25.64,49.45,21.24,1997.32933789954,-0.0215464393926672
"LTER","LTER_MO",1997-05-01,8,25.4,49.04,21.02,1997.32933789954,-0.0424101844002755
"LTER","LTER_MO",1997-05-01,20,25.41,50.33,21.64,1997.32933789954,0.023234281599272
"LTER","LTER_MO",1997-08-07,0,23.03,45.94,19.56,1997.59783105023,-0.200160451530971
"LTER","LTER_MO",1997-08-07,4,23.34,45.98,19.68,1997.59783105023,-0.198124964213156
"LTER","LTER_MO",1997-08-07,8,23.93,46.28,19.49,1997.59783105023,-0.18285880932954
"LTER","LTER_MO",1997-08-07,12,25.05,48.32,19.23,1997.59783105023,-0.0790489561209532
"LTER","LTER_MO",1997-08-07,16,25.97,48.41,18.19,1997.59783105023,-0.0744691096558686
"LTER","LTER_MO",1997-08-07,16,24.66,48.23,18.47,1997.59783105023,-0.0836288025860381
"LTER","LTER_MO",1997-08-07,20,29.3,50.65,21.06,1997.59783105023,0.0395181801417954
"LTER","LTER_MO",1997-11-25,0,23.07,46.76,20.69,1997.89931506849,-0.158432961515755
"LTER","LTER_MO",1997-11-25,4,23.88,46.14,20.44,1997.89931506849,-0.189983014941894
"LTER","LTER_MO",1997-11-25,4,23.46,47.16,20.93,1997.89931506849,-0.138078088337601
"LTER","LTER_MO",1997-11-25,8,23.55,47.33,20.96,1997.89931506849,-0.129427267236885
"LTER","LTER_MO",1997-11-25,20,23.75,47.63,21.09,1997.89931506849,-0.114161112353269
"LTER","LTER_MO",1998-04-27,0,24.06,47.01,21,1998.31837899543,-0.145711165779409
"LTER","LTER_MO",1998-04-27,0,21.7,47.18,21.21,1998.31837899543,-0.137060344678693
"LTER","LTER_MO",1998-04-27,8,22.08,46.99,20.94,1998.31837899543,-0.146728909438316
"LTER","LTER_MO",1998-04-27,20,25.53,47.63,20.85,1998.31837899543,-0.114161112353269
"LTER","LTER_MO",1998-08-02,0,21.75,41.76,19.65,1998.58413242009,-0.412868876242683
"LTER","LTER_MO",1998-08-02,0,21.26,41.38,19.6,1998.58413242009,-0.43220600576193
"LTER","LTER_MO",1998-08-02,4,21.57,41.9,19.57,1998.58413242009,-0.405744670630329
"LTER","LTER_MO",1998-08-02,8,21.78,43.47,19.74,1998.58413242009,-0.325851793406074
"LTER","LTER_MO",1998-08-02,12,24.29,46.15,17.91,1998.58413242009,-0.18947414311244
"LTER","LTER_MO",1998-08-02,16,24.7,46.47,16.77,1998.58413242009,-0.173190244569917
"LTER","LTER_MO",1998-08-02,20,24.87,46.47,16.59,1998.58413242009,-0.173190244569917
"LTER","LTER_MO",1998-10-27,0,21.56,21.53,9.27,1998.8198630137,-1.44231658722784
"LTER","LTER_MO",1998-10-27,0,21.86,31.36,13.68,1998.8198630137,-0.942095578874695
"LTER","LTER_MO",1998-10-27,8,21.67,42.65,19.97,1998.8198630137,-0.36757928342129
"LTER","LTER_MO",1998-10-27,20,23.65,45.36,16.19,1998.8198630137,-0.229675017639295
"LTER","LTER_MO",1999-01-27,1,23.01,45.56,21.78,1999.07191780822,-0.219497581050218
"LTER","LTER_MO",1999-01-27,8,23.41,46.41,21.91,1999.07191780822,-0.17624347554664
"LTER","LTER_MO",1999-01-27,8,23.33,46.61,21.94,1999.07191780822,-0.166066038957563
"LTER","LTER_MO",1999-01-27,20,54.01,104.6,24.51,1999.07191780822,2.78488170004535
"LTER","LTER_MO",1999-04-12,0,25.53,49.97,21.46,1999.27728310502,0.00491489573893317
"LTER","LTER_MO",1999-04-12,8,25.74,48.65,20.75,1999.27728310502,-0.062256185748976
"LTER","LTER_MO",1999-04-12,18,26.84,48.29,20.67,1999.27728310502,-0.0805755716093148
"LTER","LTER_MO",1999-04-12,18,24.88,48.11,20.55,1999.27728310502,-0.0897352645394842
"LTER","LTER_MO",1999-07-07,0,23.6,43.77,19.18,1999.51289954338,-0.310585638522458
"LTER","LTER_MO",1999-07-07,4,23.44,46.97,20.54,1999.51289954338,-0.147746653097224
"LTER","LTER_MO",1999-07-07,8,24.01,44.34,19.01,1999.51289954338,-0.281579944243588
"LTER","LTER_MO",1999-07-07,8,23.78,44.22,18.96,1999.51289954338,-0.287686406197035
"LTER","LTER_MO",1999-07-07,12,25.31,45.91,18.6,1999.51289954338,-0.201687067019333
"LTER","LTER_MO",1999-07-07,16,23.89,46.17,18.08,1999.51289954338,-0.188456399453532
"LTER","LTER_MO",1999-07-07,20,25.4,46.43,18.36,1999.51289954338,-0.175225731887732
"LTER","LTER_MO",1999-10-26,0,22.33,44.4,19.44,1999.81700913242,-0.278526713266865
"LTER","LTER_MO",1999-10-26,4,22.52,44.45,19.46,1999.81700913242,-0.275982354119596
"LTER","LTER_MO",1999-10-26,20,22.3,44.82,19.44,1999.81700913242,-0.257154096429803
"LTER","LTER_MO",1999-10-26,20,22.79,44.72,19.38,1999.81700913242,-0.262242814724342
"LTER","LTER_MO",2000-01-25,1,22.29,46.04,20.01,2000.0662568306,-0.195071733236433
"LTER","LTER_MO",2000-01-25,8,22.03,45.76,20.05,2000.0662568306,-0.209320144461141
"LTER","LTER_MO",2000-01-25,8,21.68,45.48,19.82,2000.0662568306,-0.223568555685849
"LTER","LTER_MO",2000-01-25,20,26.09,54.54,19.38,2000.0662568306,0.237469321799346
"LTER","LTER_MO",2000-04-10,0,22.13,46.79,19.36,2000.27379326047,-0.156906346027393
"LTER","LTER_MO",2000-04-10,8,21.81,46.79,19.42,2000.27379326047,-0.156906346027393
"LTER","LTER_MO",2000-04-10,8,22.16,46.85,19.4,2000.27379326047,-0.15385311505067
"LTER","LTER_MO",2000-04-10,20,21.91,46.84,19.27,2000.27379326047,-0.154361986880124
"LTER","LTER_MO",2000-07-03,0,20.24,40.04,17.4,2000.50330145719,-0.500394830908747
"LTER","LTER_MO",2000-07-03,0,20.61,40.23,17.43,2000.50330145719,-0.490726266149124
"LTER","LTER_MO",2000-07-03,4,20.05,39.92,17.21,2000.50330145719,-0.506501292862193
"LTER","LTER_MO",2000-07-03,8,20.55,40.3,17.24,2000.50330145719,-0.487164163342947
"LTER","LTER_MO",2000-07-03,12,22.33,44.2,16.99,2000.50330145719,-0.288704149855942
"LTER","LTER_MO",2000-07-03,16,23.44,45.69,16.29,2000.50330145719,-0.212882247267318
"LTER","LTER_MO",2000-07-03,20,23.49,46.01,16.4,2000.50330145719,-0.196598348724794
"LTER","LTER_MO",2000-10-24,0,19.37,38.86,17.57,2000.81204462659,-0.560441706784302
"LTER","LTER_MO",2000-10-24,0,20,39,17.71,2000.81204462659,-0.553317501171948
"LTER","LTER_MO",2000-10-24,4,19.75,39.26,17.62,2000.81204462659,-0.540086833606148
"LTER","LTER_MO",2000-10-24,20,20.26,39.58,17.43,2000.81204462659,-0.523802935063624
"LTER","LTER_MO",2001-01-15,0,20.16,37.91,17.45,2001.03904109589,-0.608784530582419
"LTER","LTER_MO",2001-01-15,8,19.82,37.96,17.35,2001.03904109589,-0.606240171435149
"LTER","LTER_MO",2001-01-15,8,20.03,38.11,17.58,2001.03904109589,-0.598607093993341
"LTER","LTER_MO",2001-04-25,0,24.19,46.3,17.74,2001.31289954338,-0.181841065670632
"LTER","LTER_MO",2001-04-25,0,24.47,46.12,17.55,2001.31289954338,-0.191000758600802
"LTER","LTER_MO",2001-04-25,8,24.32,46.12,17.82,2001.31289954338,-0.191000758600802
"LTER","LTER_MO",2001-04-25,20,24.56,46.22,17.67,2001.31289954338,-0.185912040306263
"LTER","LTER_MO",2001-07-30,0,24.24,44.1,16.41,2001.57591324201,-0.293792868150481
"LTER","LTER_MO",2001-07-30,0,24.21,43.7,16.36,2001.57591324201,-0.314147741328635
"LTER","LTER_MO",2001-07-30,4,24.3,43.66,16.3,2001.57591324201,-0.316183228646451
"LTER","LTER_MO",2001-07-30,6,24.29,43.69,16.48,2001.57591324201,-0.314656613158089
"LTER","LTER_MO",2001-07-30,8,24.2,43.98,15.76,2001.57591324201,-0.299899330103927
"LTER","LTER_MO",2001-07-30,12,24.98,45.07,14.96,2001.57591324201,-0.244432300693457
"LTER","LTER_MO",2001-07-30,16,25.29,45.45,15.23,2001.57591324201,-0.22509517117421
"LTER","LTER_MO",2001-07-30,20,24.99,45.66,14.8,2001.57591324201,-0.214408862755679
"LTER","LTER_MO",2001-07-30,21,25.52,45.14,14.18,2001.57591324201,-0.24087019788728
"LTER","LTER_MO",2001-10-22,0,20.68,40.33,15.79,2001.80605022831,-0.485637547854585
"LTER","LTER_MO",2001-10-22,0,20.56,40.28,15.8,2001.80605022831,-0.488181907001854
"LTER","LTER_MO",2001-10-22,4,21.03,40.33,15.86,2001.80605022831,-0.485637547854585
"LTER","LTER_MO",2001-10-22,20,21.46,40.65,15.91,2001.80605022831,-0.469353649312062
"LTER","LTER_MO",2002-04-23,0,21.8,41.08,17.74,2002.30742009132,-0.447472160645546
"LTER","LTER_MO",2002-04-23,0,22,40.98,17.35,2002.30742009132,-0.452560878940084
"LTER","LTER_MO",2002-04-23,8,22.4,41.04,17.42,2002.30742009132,-0.449507647963361
"LTER","LTER_MO",2002-04-23,20,22.4,40.99,17.66,2002.30742009132,-0.45205200711063
"LTER","LTER_MO",2002-07-16,0,20.2,40.35,16.79,2002.53755707763,-0.484619804195677
"LTER","LTER_MO",2002-07-16,4,20.7,40.4,16.94,2002.53755707763,-0.482075445048408
"LTER","LTER_MO",2002-07-16,6,20.6,40.1,16.64,2002.53755707763,-0.497341599932024
"LTER","LTER_MO",2002-07-16,8,21.1,40.26,16.36,2002.53755707763,-0.489199650660762
"LTER","LTER_MO",2002-07-16,12,21.6,40.91,15.93,2002.53755707763,-0.456122981746261
"LTER","LTER_MO",2002-07-16,14,21.6,41.07,15.53,2002.53755707763,-0.447981032475
"LTER","LTER_MO",2002-07-16,16,21.5,41.15,15.6,2002.53755707763,-0.443910057839369
"LTER","LTER_MO",2002-07-16,20,21.8,41.3,15.24,2002.53755707763,-0.436276980397561
"LTER","LTER_MO",2002-10-22,0,21.3,45.95,19.09,2002.80605022831,-0.199651579701517
"LTER","LTER_MO",2002-10-22,4,21.5,32.94,13.86,2002.80605022831,-0.861693829820985
"LTER","LTER_MO",2002-10-22,20,21,43.12,17.28,2002.80605022831,-0.343662307436959
"LTER","LTER_MO",2002-10-22,20,21,46.01,19.07,2002.80605022831,-0.196598348724794
"LTER","LTER_MO",2003-02-13,0,21.88,48.35,21.07,2003.11849315069,-0.0775223406325915
"LTER","LTER_MO",2003-02-13,0,21.51,48.36,21.17,2003.11849315069,-0.0770134688031378
"LTER","LTER_MO",2003-02-13,8,22.24,47.75,21.05,2003.11849315069,-0.108054650399823
"LTER","LTER_MO",2003-04-15,0,19.44,49.67,18.77,2003.2855022831,-0.0103512591446824
"LTER","LTER_MO",2003-04-15,8,19.94,49.37,18.62,2003.2855022831,-0.0256174140282983
"LTER","LTER_MO",2003-04-15,8,25.65,49.58,18.66,2003.2855022831,-0.0149311056097673
"LTER","LTER_MO",2003-08-05,0,23.42,49.12,17.73,2003.59235159817,-0.0383392097646447
"LTER","LTER_MO",2003-08-05,0,22.87,48.96,17.7,2003.59235159817,-0.0464811590359063
"LTER","LTER_MO",2003-08-05,4,23.28,48.48,17.56,2003.59235159817,-0.0709070068496916
"LTER","LTER_MO",2003-08-05,6,23.45,48.96,17.71,2003.59235159817,-0.0464811590359063
"LTER","LTER_MO",2003-08-05,8,22.71,48.98,17.66,2003.59235159817,-0.0454634153769988
"LTER","LTER_MO",2003-08-05,12,22.53,48.68,16.88,2003.59235159817,-0.0607295702606143
"LTER","LTER_MO",2003-08-05,16,22.33,48.87,16.4,2003.59235159817,-0.0510610055009912
"LTER","LTER_MO",2003-08-05,20,23.02,48.88,16.19,2003.59235159817,-0.0505521336715371
"LTER","LTER_MO",2003-10-29,0,23.13,49.45,18.25,2003.82534246575,-0.0215464393926672
"LTER","LTER_MO",2003-10-29,4,23.88,49.31,18.26,2003.82534246575,-0.0286706450050212
"LTER","LTER_MO",2003-10-29,20,24.05,49.21,18.18,2003.82534246575,-0.0337593632995599
"LTER","LTER_MO",2003-10-29,20,23.66,49.33,18.23,2003.82534246575,-0.0276529013461137
"LTER","LTER_MO",2004-02-17,0,23.7,47,20.37,2004.12909836066,-0.146220037608862
"LTER","LTER_MO",2004-02-17,8,23.7,48.8,20.11,2004.12909836066,-0.0546231083071682
"LTER","LTER_MO",2004-02-17,8,25.8,49.3,20.33,2004.12909836066,-0.0291795168344753
"LTER","LTER_MO",2004-04-13,0,25.2,50.81,19.81,2004.28198998179,0.0476601294130573
"LTER","LTER_MO",2004-04-13,8,25,50.87,19.78,2004.28198998179,0.0507133603897802
"LTER","LTER_MO",2004-04-13,8,24.9,51.48,19.97,2004.28198998179,0.0817545419864655
"LTER","LTER_MO",2004-04-13,20,25,80.73,19.84,2004.28198998179,1.570204643139
"LTER","LTER_MO",2004-08-05,0,19.7,4.58,1.36,2004.59346539162,-2.30485433815212
"LTER","LTER_MO",2004-08-05,4,18.3,45.3,18.05,2004.59346539162,-0.232728248616018
"LTER","LTER_MO",2004-08-05,6,18.1,28.56,9.95,2004.59346539162,-1.08457969112177
"LTER","LTER_MO",2004-08-05,8,17.9,7.37,2.91,2004.59346539162,-2.1628790977345
"LTER","LTER_MO",2004-08-05,12,20,3.62,4.48,2004.59346539162,-2.35370603377969
"LTER","LTER_MO",2004-08-05,16,19.9,7.05,1.4,2004.59346539162,-2.17916299627702
"LTER","LTER_MO",2004-08-05,16,20.1,12.47,3.59,2004.59346539162,-1.90335446471303
"LTER","LTER_MO",2004-08-05,20,19.7,25.48,5.44,2004.59346539162,-1.24131221459356
"LTER","LTER_MO",2004-11-04,0,18.9,45.68,19.4,2004.84221311475,-0.213391119096771
"LTER","LTER_MO",2004-11-04,4,19.4,45.64,19.51,2004.84221311475,-0.215426606414587
"LTER","LTER_MO",2004-11-04,8,19.3,45.37,19.27,2004.84221311475,-0.229166145809841
"LTER","LTER_MO",2004-11-04,20,19.9,45.37,19.27,2004.84221311475,-0.229166145809841
"LTER","LTER_MO",2005-02-03,0,21.2,46.04,20.51,2005.09109589041,-0.195071733236433
"LTER","LTER_MO",2005-02-03,8,21.3,46.98,21.12,2005.09109589041,-0.14723778126777
"LTER","LTER_MO",2005-02-03,20,79.1,147.38,21.73,2005.09109589041,4.96183538644895
"LTER","LTER_MO",2005-02-03,20,79.4,144.38,21.83,2005.09109589041,4.8091738376128
"LTER","LTER_MO",2005-04-18,0,26.9,59.46,21.81,2005.29372146119,0.487834261890644
"LTER","LTER_MO",2005-04-18,8,26.5,60.02,22.15,2005.29372146119,0.51633108434006
"LTER","LTER_MO",2005-04-18,8,26.7,59.69,22.09,2005.29372146119,0.499538313968082
"LTER","LTER_MO",2005-04-18,20,27.1,62.09,22.05,2005.29372146119,0.621667553037008
"LTER","LTER_MO",2005-08-03,0,27.9,56.51,19.43,2005.58687214612,0.337717072201756
"LTER","LTER_MO",2005-08-03,4,27.6,56.46,19.43,2005.58687214612,0.335172713054486
"LTER","LTER_MO",2005-08-03,6,28.2,56.66,19.62,2005.58687214612,0.345350149643563
"LTER","LTER_MO",2005-08-03,8,27.4,55.45,19.45,2005.58687214612,0.283776658279647
"LTER","LTER_MO",2005-08-03,8,27.6,55.79,19.22,2005.58687214612,0.301078300481078
"LTER","LTER_MO",2005-08-03,12,27.3,54.14,17.9,2005.58687214612,0.217114448621192
"LTER","LTER_MO",2005-08-03,16,27,54.1,17.69,2005.58687214612,0.215078961303376
"LTER","LTER_MO",2005-08-03,20,27.5,54.42,16.98,2005.58687214612,0.2313628598459
"LTER","LTER_MO",2005-08-03,22,27.6,54.04,16.94,2005.58687214612,0.212025730326653
"LTER","LTER_MO",2005-11-03,0,29.4,57.82,20,2005.83904109589,0.404379281860211
"LTER","LTER_MO",2005-11-03,0,29.2,57.91,20.19,2005.83904109589,0.408959128325296
"LTER","LTER_MO",2005-11-03,4,29.5,57.87,20.14,2005.83904109589,0.40692364100748
"LTER","LTER_MO",2005-11-03,20,30.1,58.2,19.99,2005.83904109589,0.423716411379458
"LTER","LTER_MO",2006-04-19,0,29.36,64.08,21.96,2006.29646118721,0.722933047098325
"LTER","LTER_MO",2006-04-19,8,29.36,63.92,21.92,2006.29646118721,0.714791097827064
"LTER","LTER_MO",2006-04-19,20,29.84,64.61,21.82,2006.29646118721,0.74990325405938
"LTER","LTER_MO",2006-04-19,20,29.41,64.2,21.79,2006.29646118721,0.729039509051772
"LTER","LTER_MO",2006-08-08,0,26.01,54.29,19.84,2006.60057077626,0.224747526062999
"LTER","LTER_MO",2006-08-08,4,25.65,55.07,19.96,2006.60057077626,0.2644395287604
"LTER","LTER_MO",2006-08-08,4,26.01,53.64,19.53,2006.60057077626,0.191670857148499
"LTER","LTER_MO",2006-08-08,6,26.01,54.43,19.93,2006.60057077626,0.231871731675353
"LTER","LTER_MO",2006-08-08,8,26.28,55.29,19.78,2006.60057077626,0.275634709008385
"LTER","LTER_MO",2006-08-08,12,27.27,57.04,18.67,2006.60057077626,0.36468727916281
"LTER","LTER_MO",2006-08-08,16,28.08,56.83,17.57,2006.60057077626,0.354000970744279
"LTER","LTER_MO",2006-08-08,20,27.72,57.41,17.77,2006.60057077626,0.383515536852603
"LTER","LTER_MO",2006-08-08,22,27.9,56.86,16.7,2006.60057077626,0.355527586232641
"LTER","LTER_MO",2006-10-30,0,25.7,53.71,19.42,2006.82808219178,0.195232959954676
"LTER","LTER_MO",2006-10-30,4,25.1,53.71,19.5,2006.82808219178,0.195232959954676
"LTER","LTER_MO",2006-10-30,20,25.8,53.64,19.43,2006.82808219178,0.191670857148499
"LTER","LTER_MO",2006-10-30,20,25.3,53.71,19.45,2006.82808219178,0.195232959954676
"LTER","LTER_MO",2007-01-05,0,28.4,52.36,19.84,2007.01164383562,0.126535262978405
"LTER","LTER_MO",2007-01-05,8,29.3,52.4,19.82,2007.01164383562,0.12857075029622
"LTER","LTER_MO",2007-01-05,20,28.9,52.51,19.83,2007.01164383562,0.134168340420213
"LTER","LTER_MO",2007-01-05,20,28.4,52.65,20.03,2007.01164383562,0.141292546032567
"LTER","LTER_MO",2007-02-26,0,29.5,50.57,19.96,2007.15410958904,0.0354472055061647
