"",-21.000,-20.500,-20.000,-19.500,-19.000,-18.500,-18.000,-17.500,-17.000,-16.500,-16.000,-15.500,-15.000,-14.500,-14.000,-13.500,-13.000,-12.500,-12.000,-11.500,-11.000,-10.500,-10.000,-9.500,-9.000,-8.500,-8.000,-7.500,-7.000,-6.500,-6.000,-5.500,-5.000,-4.500,-4.000,-3.500,-3.000,-2.500,-2.000,-1.500,-1.000,-0.500,0.000
9.0000,1.4394E+000,1.3899E+000,1.4490E+000,1.4489E+000,1.3750E+000,1.3957E+000,1.4062E+000,1.4050E+000,1.4022E+000,1.3988E+000,1.3953E+000,1.3913E+000,1.3861E+000,1.3792E+000,1.3705E+000,1.3581E+000,1.3413E+000,1.3215E+000,1.2982E+000,1.2692E+000,1.2319E+000,1.1829E+000,1.1152E+000,1.0161E+000,8.7491E-001,6.9534E-001,4.9842E-001,3.1478E-001,1.6964E-001,7.4738E-002,2.6122E-002,7.5427E-003,2.8895E-003,2.2550E-003,2.1500E-003,2.1133E-003,2.0814E-003,2.0520E-003,2.0251E-003,2.0000E-003,1.9735E-003,1.8554E-003,1.6483E-003
10.0000,1.4680E+000,1.4533E+000,1.4502E+000,1.4589E+000,1.4626E+000,1.4560E+000,1.4506E+000,1.4514E+000,1.4509E+000,1.4487E+000,1.4460E+000,1.4426E+000,1.4383E+000,1.4318E+000,1.4219E+000,1.4091E+000,1.3938E+000,1.3751E+000,1.3521E+000,1.3241E+000,1.2898E+000,1.2466E+000,1.1894E+000,1.1088E+000,9.9370E-001,8.3848E-001,6.5059E-001,4.5277E-001,2.7550E-001,1.4253E-001,6.1125E-002,2.1666E-002,7.0710E-003,3.0901E-003,2.2204E-003,2.0434E-003,2.0433E-003,2.0432E-003,2.0431E-003,2.0430E-003,2.0430E-003,1.9249E-003,1.6889E-003
11.0000,1.4918E+000,1.5147E+000,1.5158E+000,1.5056E+000,1.5041E+000,1.4990E+000,1.4979E+000,1.4995E+000,1.4972E+000,1.4942E+000,1.4911E+000,1.4878E+000,1.4836E+000,1.4777E+000,1.4698E+000,1.4590E+000,1.4444E+000,1.4260E+000,1.4038E+000,1.3768E+000,1.3442E+000,1.3041E+000,1.2534E+000,1.1853E+000,1.0901E+000,9.5901E-001,7.8943E-001,5.9293E-001,3.9641E-001,2.3035E-001,1.1386E-001,4.7242E-002,1.4825E-002,3.7787E-003,2.9783E-003,2.8059E-003,2.6998E-003,2.6073E-003,2.5205E-003,2.4432E-003,2.3789E-003,2.2087E-003,1.9270E-003
12.0000,1.5787E+000,1.5424E+000,1.5337E+000,1.5695E+000,1.5588E+000,1.5278E+000,1.5376E+000,1.5411E+000,1.5397E+000,1.5376E+000,1.5349E+000,1.5318E+000,1.5278E+000,1.5221E+000,1.5146E+000,1.5044E+000,1.4902E+000,1.4730E+000,1.4524E+000,1.4270E+000,1.3959E+000,1.3579E+000,1.3111E+000,1.2510E+000,1.1702E+000,1.0594E+000,9.1084E-001,7.2596E-001,5.2326E-001,3.3322E-001,1.8373E-001,8.6372E-002,3.3307E-002,9.5193E-003,3.1416E-003,2.9600E-003,2.8519E-003,2.8064E-003,2.7774E-003,2.7509E-003,2.7264E-003,2.5497E-003,2.2195E-003
13.0000,1.5250E+000,1.4910E+000,1.5306E+000,1.6779E+000,1.6578E+000,1.5669E+000,1.5856E+000,1.5856E+000,1.5861E+000,1.5838E+000,1.5810E+000,1.5775E+000,1.5726E+000,1.5656E+000,1.5570E+000,1.5468E+000,1.5340E+000,1.5179E+000,1.4983E+000,1.4742E+000,1.4447E+000,1.4088E+000,1.3649E+000,1.3101E+000,1.2392E+000,1.1443E+000,1.0156E+000,8.4747E-001,6.4900E-001,4.4547E-001,2.6852E-001,1.3989E-001,6.1505E-002,1.9483E-002,4.5823E-003,3.8835E-003,3.6614E-003,3.4813E-003,3.3530E-003,3.2561E-003,3.1800E-003,2.9671E-003,2.6083E-003
14.0000,1.6057E+000,1.6121E+000,1.6200E+000,1.6265E+000,1.6379E+000,1.6465E+000,1.6439E+000,1.6405E+000,1.6370E+000,1.6334E+000,1.6299E+000,1.6261E+000,1.6215E+000,1.6156E+000,1.6078E+000,1.5962E+000,1.5809E+000,1.5636E+000,1.5435E+000,1.5198E+000,1.4914E+000,1.4573E+000,1.4159E+000,1.3651E+000,1.3012E+000,1.2183E+000,1.1066E+000,9.5687E-001,7.6969E-001,5.6244E-001,3.6557E-001,2.0780E-001,1.0125E-001,3.9599E-002,1.2184E-002,5.0688E-003,3.8175E-003,3.5277E-003,3.3779E-003,3.2714E-003,3.1789E-003,2.9805E-003,2.6769E-003
15.0000,1.7027E+000,1.7157E+000,1.6887E+000,1.6633E+000,1.6783E+000,1.6854E+000,1.6844E+000,1.6823E+000,1.6801E+000,1.6779E+000,1.6759E+000,1.6731E+000,1.6691E+000,1.6639E+000,1.6564E+000,1.6447E+000,1.6291E+000,1.6111E+000,1.5903E+000,1.5660E+000,1.5375E+000,1.5041E+000,1.4644E+000,1.4165E+000,1.3577E+000,1.2837E+000,1.1858E+000,1.0533E+000,8.8108E-001,6.7806E-001,4.6972E-001,2.8768E-001,1.5282E-001,6.7839E-002,2.4201E-002,7.6561E-003,3.8709E-003,3.7784E-003,3.7296E-003,3.7001E-003,3.6819E-003,3.3700E-003,2.7606E-003
16.0000,1.7511E+000,1.7267E+000,1.7136E+000,1.7143E+000,1.7199E+000,1.7239E+000,1.7227E+000,1.7204E+000,1.7185E+000,1.7169E+000,1.7144E+000,1.7113E+000,1.7073E+000,1.7024E+000,1.6959E+000,1.6866E+000,1.6741E+000,1.6580E+000,1.6377E+000,1.6130E+000,1.5839E+000,1.5502E+000,1.5111E+000,1.4650E+000,1.4098E+000,1.3422E+000,1.2550E+000,1.1375E+000,9.8106E-001,7.8755E-001,5.7557E-001,3.7569E-001,2.1484E-001,1.0472E-001,4.1604E-002,1.3172E-002,5.1617E-003,4.3670E-003,4.1879E-003,4.1393E-003,4.1210E-003,3.7079E-003,2.9002E-003
17.0000,1.7554E+000,1.7726E+000,1.7737E+000,1.7543E+000,1.7505E+000,1.7587E+000,1.7580E+000,1.7564E+000,1.7541E+000,1.7516E+000,1.7494E+000,1.7471E+000,1.7437E+000,1.7393E+000,1.7336E+000,1.7249E+000,1.7128E+000,1.6981E+000,1.6801E+000,1.6576E+000,1.6297E+000,1.5962E+000,1.5572E+000,1.5118E+000,1.4589E+000,1.3958E+000,1.3166E+000,1.2115E+000,1.0701E+000,8.8900E-001,6.7957E-001,4.6851E-001,2.8556E-001,1.5023E-001,6.6080E-002,2.1397E-002,5.9779E-003,5.3060E-003,5.2356E-003,5.1907E-003,5.1554E-003,4.4588E-003,3.0982E-003
18.0000,1.8273E+000,1.7997E+000,1.7944E+000,1.8246E+000,1.8156E+000,1.7897E+000,1.7977E+000,1.8003E+000,1.7984E+000,1.7956E+000,1.7927E+000,1.7894E+000,1.7851E+000,1.7791E+000,1.7712E+000,1.7614E+000,1.7493E+000,1.7353E+000,1.7186E+000,1.6980E+000,1.6723E+000,1.6407E+000,1.6026E+000,1.5580E+000,1.5064E+000,1.4464E+000,1.3731E+000,1.2779E+000,1.1501E+000,9.8261E-001,7.8019E-001,5.6402E-001,3.6363E-001,2.0435E-001,9.7421E-002,3.4659E-002,9.4870E-003,6.6899E-003,6.2861E-003,6.0764E-003,5.9588E-003,5.0765E-003,3.3860E-003
