"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-03","2.4",,"0.0","0.0","0.0","6.7","13.9","-2.1","  310","  320","7.6","12.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-04","4.5",,"0.0","0.0","0.0","6.2","6.7","3.3","  100","  110","8.9","13.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-05","2.2",,"0.0","0.0","0.0","6.2","15.0","2.8","  320","  330","4.5","7.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-06","3.8",,"0.0","0.0","0.0","10.2","17.8","6.1","  160","  150","8.9","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-07","2.8",,"3.0","0.0","0.0","12.8","16.7","8.3","  160","  170","8.1","10.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-08","3.0",,"0.0","0.0","0.0","14.1","22.8","3.9","  240","  220","9.8","13.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-09","4.4",,"0.0","0.0","0.0","12.9","18.9","1.7","   50","  280","9.8","16.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-10","6.5",,"8.1","43.0","0.0","3.0","3.3","-1.0","   70","   70","11.2","15.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-11","8.3",,"14.7","0.0","0.0","0.8","5.6","0.0","   70","   80","13.4","17.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-12","5.3",,"0.0","0.0","0.0","3.8","6.1","2.2","  240","  240","10.3","17.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-13","3.6",,"0.0","0.0","0.0","2.6","6.1","0.0","  290","  280","7.2","11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-14","5.0",,"0.0","0.0","0.0","1.6","3.3","-3.2","   30","   30","11.2","14.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-15","3.6",,"0.0","0.0","0.0","3.1","13.9","-5.5","  170","  170","9.4","11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-16","3.5",,"2.8","0.0","0.0","11.3","18.9","7.8","  360","  170","7.2","9.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-17","4.3",,"3.8","0.0","0.0","10.4","16.7","8.3","  120","  300","8.9","13.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-18","4.7",,"0.3","0.0","0.0","10.1","14.4","5.0","  340","  340","8.1","12.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-19","6.3",,"0.0","0.0","0.0","7.9","15.6","1.7","   20","   30","11.2","15.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-20","2.1",,"0.0","0.0","0.0","8.8","19.4","-2.1","   10","   10","5.8","8.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-21","4.9",,"0.0","0.0","0.0","15.9","26.7","6.7","  180","  180","10.3","13.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-22","4.6",,"25.4","0.0","0.0","19.4","25.0","8.9","  190","  200","10.3","14.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-23","3.8",,"4.1","0.0","0.0","12.3","18.3","6.1","  350","  360","8.9","11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-24","3.9",,"0.0","0.0","0.0","11.5","19.4","3.3","  190","  180","8.1","13.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-25","2.4",,"2.0","0.0","0.0","12.7","21.1","5.6","  350","  360","9.8","13.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-26","4.8",,"0.0","0.0","0.0","11.3","16.1","6.7","  320","  310","10.3","17.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-27","3.3",,"5.6","30.0","0.0","5.1","7.2","-1.0","   80","  110","8.9","10.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-28","3.1",,"0.0","0.0","30.0","3.3","11.7","-3.8","  130","  130","8.1","10.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-29","3.1",,"8.1","0.0","0.0","6.8","11.1","4.4","  130","  130","8.1","11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-30","5.5",,"2.5","0.0","0.0","6.7","6.7","5.0","   70","   90","8.9","12.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-01","3.2",,"7.1","0.0","0.0","6.7","10.6","5.0","   80","   90","8.1","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-02","2.0",,"1.0","0.0","0.0","7.4","11.7","5.0","   80","   80","4.5","5.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-03","1.4",,"0.0","0.0","0.0","9.7","15.0","0.6","  130","  100","5.4","7.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-04","1.8",,"0.0","0.0","0.0","10.7","19.4","1.7","  200","  200","4.5","6.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-05","2.6",,"11.2","0.0","0.0","15.2","23.3","6.7","  290","  300","9.8","15.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-06","3.0",,"5.1","0.0","0.0","12.2","15.0","9.4","   50","   50","8.9","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-07","4.6",,"0.0","0.0","0.0","10.5","14.4","5.0","   50","   40","8.9","11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-08","5.4",,"16.5","0.0","0.0","7.1","13.9","4.4","  100","  110","11.2","16.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-09","3.3",,"2.0","0.0","0.0","11.8","15.6","5.6","  300","  250","6.7","12.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-10","2.5",,"0.0","0.0","0.0","8.6","15.0","3.3","  340","   10","7.6","10.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-11","3.1",,"0.0","0.0","0.0","10.1","13.3","2.8","  180","  150","6.7","8.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-12","2.3",,"0.0","0.0","0.0","7.7","12.8","1.1","   40","   30","7.2","9.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-13","2.6",,"0.0","0.0","0.0","10.3","18.9","0.6","   10","  340","7.2","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-14","1.9",,"0.0","0.0","0.0","13.9","21.1","4.4","  180","  180","5.4","7.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-05-15","1.0",,"0.0","0.0","0.0","16.0","25.0","6.7","  210","  200","4.5","8.1"
