datetime,ice_null_GLM,ice_01_GLM,ice_05_GLM,ice_1_GLM,ice_15_GLM,ice_2_GLM,ice_25_GLM,ice_3_GLM,ice_35_GLM,ice_4_GLM,ice_45_GLM,ice_5_GLM,ice_10_GLM,id
2002-01-05,0.150448501110077,0.150871112942696,0.149692729115486,0.148763582110405,0.147439792752266,0.145024493336678,0.148433417081833,0.148757606744766,0.14725960791111,0.147312939167023,0.147374138236046,0.146647378802299,0.146388456225395,mendota
2002-01-06,0.148162186145782,0.148568645119667,0.145497992634773,0.14468851685524,0.143329069018364,0.138473853468895,0.14448755979538,0.144943997263908,0.143267318606377,0.142943263053894,0.144028052687645,0.142620861530304,0.14230178296566,mendota
2002-01-07,0.150054037570953,0.150468036532402,0.146474450826645,0.145740777254105,0.144206970930099,0.137519240379333,0.145370751619339,0.145872622728348,0.144240736961365,0.143599063158035,0.145345747470856,0.14345994591713,0.143066301941872,mendota
2002-01-08,0.160132721066475,0.16053532063961,0.156320214271545,0.155616968870163,0.154115661978722,0.146787956357002,0.155262023210526,0.155797362327576,0.15392430126667,0.153247773647308,0.154955565929413,0.153085485100746,0.151971608400345,mendota
2002-01-09,0.160026460886002,0.160421997308731,0.155880942940712,0.15520952641964,0.152707204222679,0.145742312073708,0.153691649436951,0.15406896173954,0.152281761169434,0.151689678430557,0.153312847018242,0.15156526863575,0.150684952735901,mendota
2002-01-10,0.159925132989883,0.160306543111801,0.15510681271553,0.154438853263855,0.150736719369888,0.1443822234869,0.151920303702354,0.151682808995247,0.150759637355804,0.150268062949181,0.151258945465088,0.149826303124428,0.148964434862137,mendota
2002-01-11,0.160335600376129,0.160756051540375,0.15511791408062,0.154437184333801,0.150120884180069,0.144149571657181,0.151440143585205,0.150694966316223,0.150480434298515,0.150049179792404,0.150533095002174,0.149343281984329,0.148446053266525,mendota
2002-01-12,0.165287211537361,0.165736511349678,0.159832656383514,0.159143105149269,0.154517784714699,0.148831620812416,0.155862063169479,0.154825940728188,0.155110999941826,0.154733523726463,0.15481062233448,0.153819009661674,0.152822747826576,mendota
2002-01-13,0.16929467022419,0.169747725129128,0.163613438606262,0.162917226552963,0.158064484596252,0.152567952871323,0.159526914358139,0.158211573958397,0.158803254365921,0.158444106578827,0.158295482397079,0.157433032989502,0.156415387988091,mendota
2002-01-14,0.171420931816101,0.171843811869621,0.165520310401917,0.164826422929764,0.159863099455833,0.154083460569382,0.161356657743454,0.159936681389809,0.159259423613548,0.158650293946266,0.158859759569168,0.157830446958542,0.156525298953056,mendota
2002-01-15,0.164166510105133,0.164595246315002,0.157952696084976,0.157260715961456,0.151609748601913,0.145942106842995,0.153283596038818,0.15125547349453,0.150232583284378,0.149119392037392,0.149486050009727,0.149021938443184,0.14763680100441,mendota
2002-01-16,0.164284750819206,0.164704814553261,0.157971560955048,0.157273292541504,0.151000216603279,0.145688652992249,0.152825996279716,0.150230839848518,0.149429351091385,0.147900208830833,0.148381158709526,0.148382142186165,0.1469486951828,mendota
2002-01-17,0.16503769159317,0.165458500385284,0.158656895160675,0.157947048544884,0.151440009474754,0.146296381950378,0.153323754668236,0.150397837162018,0.149770259857178,0.147988110780716,0.148527815937996,0.148783072829247,0.14733649790287,mendota
2002-01-18,0.172632947564125,0.173042729496956,0.166179001331329,0.165491133928299,0.159221723675728,0.154119119048119,0.16106304526329,0.158305764198303,0.157551795244217,0.155812829732895,0.156347364187241,0.156572461128235,0.15514725446701,mendota
2002-01-19,0.184557214379311,0.184965997934341,0.177634045481682,0.176617622375488,0.17119836807251,0.166057839989662,0.172707661986351,0.17040553689003,0.169590920209885,0.168108999729156,0.168578073382378,0.168566033244133,0.16674992442131,mendota
2002-01-20,0.189396262168884,0.18954873085022,0.181524872779846,0.180100470781326,0.175484597682953,0.170650333166122,0.176581278443336,0.174598291516304,0.174077540636063,0.172768294811249,0.17314350605011,0.172988757491112,0.171402871608734,mendota
