datetime,dens_null_Simstrat,dens_01_Simstrat,dens_05_Simstrat,dens_1_Simstrat,dens_15_Simstrat,dens_2_Simstrat,dens_25_Simstrat,dens_3_Simstrat,dens_35_Simstrat,dens_4_Simstrat,dens_45_Simstrat,dens_5_Simstrat,dens_10_Simstrat,id
1995-02-17,0.006103515625,0.01507568359375,0.0367431640625,0.088623046875,0.12921142578125,0.1693115234375,0.20538330078125,0.2530517578125,0.282470703125,0.3212890625,0.3525390625,0.38848876953125,0.72796630859375,mendota
1995-02-18,0.0052490234375,0.01507568359375,0.0369873046875,0.088623046875,0.13153076171875,0.17059326171875,0.20587158203125,0.252685546875,0.2877197265625,0.3228759765625,0.3563232421875,0.3922119140625,0.7325439453125,mendota
1995-02-19,0.00439453125,0.01397705078125,0.03564453125,0.09130859375,0.12933349609375,0.1710205078125,0.20758056640625,0.25335693359375,0.29266357421875,0.3238525390625,0.35858154296875,0.39483642578125,0.7406005859375,mendota
1995-02-20,0.00250244140625,0.012939453125,0.04248046875,0.08990478515625,0.1318359375,0.17291259765625,0.20892333984375,0.2574462890625,0.29364013671875,0.32696533203125,0.36163330078125,0.39849853515625,0.74920654296875,mendota
1995-02-21,0.0020751953125,0.01104736328125,0.03948974609375,0.08831787109375,0.1358642578125,0.1705322265625,0.20751953125,0.25543212890625,0.29302978515625,0.326416015625,0.361328125,0.39813232421875,0.75018310546875,mendota
1995-02-22,0.0018310546875,0.0107421875,0.04107666015625,0.0882568359375,0.13568115234375,0.17022705078125,0.20819091796875,0.25811767578125,0.29119873046875,0.326904296875,0.360107421875,0.396728515625,0.74859619140625,mendota
1995-02-23,0.001220703125,0.00885009765625,0.03973388671875,0.08636474609375,0.13580322265625,0.16925048828125,0.20654296875,0.25567626953125,0.29119873046875,0.32501220703125,0.35919189453125,0.39630126953125,0.74676513671875,mendota
1995-02-24,-0.00054931640625,0.011962890625,0.03973388671875,0.08673095703125,0.13470458984375,0.16900634765625,0.20660400390625,0.2554931640625,0.29095458984375,0.3253173828125,0.35931396484375,0.396484375,0.74822998046875,mendota
1995-02-25,-0.00030517578125,0.00927734375,0.03875732421875,0.087158203125,0.1341552734375,0.1693115234375,0.2071533203125,0.2562255859375,0.291015625,0.32623291015625,0.36016845703125,0.39794921875,0.7525634765625,mendota
1995-02-26,-0.00018310546875,0.0098876953125,0.03973388671875,0.088134765625,0.1351318359375,0.17095947265625,0.2091064453125,0.25799560546875,0.29376220703125,0.328857421875,0.36383056640625,0.40106201171875,0.75811767578125,mendota
