datetime,ln_null_GLM,ln_01_GLM,ln_05_GLM,ln_1_GLM,ln_15_GLM,ln_2_GLM,ln_25_GLM,ln_3_GLM,ln_35_GLM,ln_4_GLM,ln_45_GLM,ln_5_GLM,ln_10_GLM,id
2006-07-02,9.30531115694453,9.42000491864944,9.78867085759454,10.4388659902313,9.29800037241953,11.4719657121396,9.15943177369876,9.41230269456225,9.49165381188214,9.19909139589825,8.54740227327887,8.8710530926634,9.92973334075836,mendota
2006-07-03,9.16473145248904,9.10905175893497,9.66881150407707,10.1028662345134,9.05871590507267,11.312457547483,10.7446459525042,9.25724288499405,9.25960361305171,8.95501519713707,8.48615050526731,8.59302227637947,10.2389295973155,mendota
2006-07-04,4.60954897623574,4.7035043876606,4.89500860305235,5.10344428292928,4.62787195468969,5.81032017608403,5.5640266606852,4.75464183593283,4.74018464701153,4.58562014575018,4.40569255733395,4.36912897908675,5.33154299498528,mendota
2006-07-05,10.1082497903158,10.1460048401513,10.5718491161282,10.8730888656988,9.98259803504353,12.7129857134246,12.269834108884,10.3313952934016,9.89620862760953,9.85092035037163,9.69969005137962,9.27199778400384,11.661671433598,mendota
2006-07-06,26.7964084217091,26.9948149330866,27.5229411648755,28.3485589137643,26.7549254321509,33.9502923519378,32.8829403007413,27.4957835663644,26.9880511537013,26.5701951219186,26.0718778165404,24.884773121514,31.6358823763886,mendota
2006-07-07,8.19518330913013,8.3140388659793,8.49593057641554,8.64781337997008,8.18995668765606,10.4702810208511,10.1437912585045,8.42165947149366,8.2541899128056,8.09176923158996,8.02647430735557,7.61853086459092,9.78114652426211,mendota
2006-07-08,3.85092460013215,3.9254191300159,4.01292668873626,4.06783768969862,3.8676067467522,4.93043755492658,4.79491647580147,3.95024181024918,3.89332987470634,3.81988858135308,3.79545899111527,3.59210660623299,4.60806645342799,mendota
2006-07-09,6.66992598243025,6.64813796180886,6.94086148236933,7.37526120793104,6.6543997730599,8.46785667326113,8.15784209310555,6.87645486942826,6.81557827863478,6.44414575685294,6.27949124851011,6.23356916632684,7.99587787470687,mendota
2006-07-10,6.45565725459661,6.31811144440633,6.60928337187829,7.03511169094887,6.40597304664243,8.12876577801823,7.91072644059574,6.61520741560047,6.41696876242475,6.28920184240955,6.1846909279849,5.97927347580625,7.73095396823515,mendota
2006-07-11,9.39462705227527,9.53331588127117,9.89935784573283,10.2192498307444,9.2448415583285,11.965224783083,11.612704684183,9.60279135004625,9.40889933847093,9.19573535346112,9.13960746321567,8.92509438665343,11.5368393902541,mendota
2006-07-12,30.1586532538242,30.5421715334582,31.4926552753018,32.4621185731893,29.7518677785435,37.4942662654273,37.265920630539,30.731809176938,30.2669338932344,29.5505124759266,29.5926170353182,28.5472056145944,37.334290245268,mendota
2006-07-13,10.3028887118366,10.4113472200403,10.7085941892078,11.0834560913471,10.1288538270012,12.9647133153831,12.7852288084396,10.5001112155647,10.3011545858528,10.1024548940769,10.1982958881267,9.71286912469788,12.8572045835763,mendota
2006-07-14,12.3049803283377,13.5463702003825,13.1891582811473,13.9380588266363,12.5457320901655,16.8616510377316,16.6268330032648,13.625676364599,13.5125805469317,13.0862722743029,13.3598104666373,12.7952952036542,16.5937604101254,mendota
2006-07-15,9.64026752661081,10.4130219386985,10.1128488377391,10.6934225417821,9.4782532292473,13.0566194332269,12.910072844464,10.4332610904912,10.3719117893036,10.0666166045948,10.3644127052277,9.75400054806166,12.8968728445597,mendota
2006-07-16,2.24041963211893,2.71117360338156,2.64434807610496,2.78249053219886,2.45879458406932,3.39016780305935,3.3573447888505,2.71885929970703,2.6964588521337,2.633676357442,2.71909378864315,2.54837969887033,4.44134606960495,mendota
2006-07-17,2.58700718376739,2.86900736230532,2.75180761767121,2.91352759255338,2.52051200462884,3.57489591854049,3.57163950914603,2.86553073607021,2.81986740243196,2.77802907316196,2.89001293303344,2.63207825781372,4.76651502298648,mendota
2006-07-18,8.11907563398936,9.76054627785999,9.37556415120476,9.89394961331378,8.79553810655664,12.3003463599322,12.1599396821751,9.7953322081079,9.62211086223736,9.48711452546058,9.86721846768263,8.94113997852226,16.4206446561944,mendota
2006-07-19,5.75589011920922,6.91860918259397,6.6075101859745,6.98027874326773,6.26725757643316,8.76051311875245,8.64732645537793,6.96806723168037,6.84259831137759,6.70426122884095,7.04216435441731,6.31880032193798,11.650670403688,mendota
