datetime,salt_null,salt_01,salt_05,salt_1,salt_15,salt_2,salt_25,salt_3,salt_35,salt_4,salt_45,salt_5,salt_10,id
2010-09-05,-3.13430853271512e-07,-1.99948747952779e-05,0.0552107592423757,0.133065730333328,0.228848079840342,0.314264059066772,0.414814213911692,0.504278302192688,0.607007304827372,0.712865988413493,0.809976577758789,0.910797754923503,2.12884171803792,mendota
2010-09-06,-2.88304137008311e-07,-1.66843334833781e-05,0.0543419669071833,0.131237188975016,0.227572600046794,0.311368028322856,0.410915871461232,0.50099245707194,0.605622371037801,0.708438237508138,0.806851029396057,0.909081896146139,2.12563649813334,mendota
2010-09-07,-2.59901207222413e-07,-2.16265519460042e-05,0.0529220849275589,0.127387156089147,0.224202334880829,0.306767205397288,0.406528929869334,0.489520867665609,0.598895311355591,0.700753092765808,0.799810568491618,0.899452129999797,2.11729907989502,mendota
2010-09-08,2.4626671072762e-10,-1.00011626879374e-05,0.0442491173744202,0.108550141255061,0.196954051653544,0.271997431914012,0.375185867150625,0.459863940874736,0.563661019007365,0.647101004918416,0.758276224136353,0.855208476384481,2.03798651695251,mendota
2010-09-09,1.98166668260077e-10,-6.66826963424683e-06,0.0403810640176137,0.101176093022029,0.185734232266744,0.257132430871328,0.3581636150678,0.439286629358927,0.540088335673014,0.627926508585612,0.722134947776794,0.832959453264872,2.0265007019043,mendota
2010-09-10,-1.50387635677873e-09,-1.31602088610331e-05,0.0390155911445618,0.0993068913618724,0.181975146134694,0.252806186676025,0.35289724667867,0.431031306584676,0.5343124071757,0.620713909467061,0.717671354611715,0.827918807665507,2.03436183929443,mendota
2010-09-11,-5.72320931387556e-10,-1.36097272237142e-05,0.0379883199930191,0.0977927446365356,0.178311427434285,0.250672737757365,0.347527623176575,0.425922115643819,0.526640892028809,0.612459580103556,0.709950049718221,0.819802641868591,2.03797594706217,mendota
2010-09-12,-3.10774147157152e-10,-1.11286838849386e-05,0.0371005286773046,0.09621595342954,0.175846775372823,0.246100763479869,0.342477023601532,0.421713868776957,0.522393902142843,0.609166781107585,0.70420241355896,0.816088358561198,2.04152019818624,mendota
2010-09-13,-5.70798075472112e-10,-9.12199417750041e-06,0.0335628588994344,0.0931913157304128,0.173860728740692,0.243452966213226,0.336703836917877,0.417351126670837,0.507482568422953,0.602536638577779,0.699165026346842,0.812519749005636,1.99115387598674,mendota
2010-09-14,-7.17959173594333e-10,-1.00408991177877e-05,0.0321792314449946,0.0888574620087941,0.171935419241587,0.239506045977275,0.331530034542084,0.414998014767965,0.500585436820984,0.596232612927755,0.694635113080343,0.810171604156494,1.99601896603902,mendota
