datetime,ln_null_GOTM,ln_01_GOTM,ln_05_GOTM,ln_1_GOTM,ln_15_GOTM,ln_2_GOTM,ln_25_GOTM,ln_3_GOTM,ln_35_GOTM,ln_4_GOTM,ln_45_GOTM,ln_5_GOTM,ln_10_GOTM,id
1995-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-24,0.00305936548535802,0.00310545211951208,0.00296034083512095,0.00271422223776615,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-25,0.00489895398703062,0.00498995260409611,0.0045216634500199,0.00372090718978703,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-26,0.0678218970908273,0.0683317859101998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-27,0.015055477028423,0.0151871406337523,0.0014507771983392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-30,0.00758702438463406,0.00777740196046042,0.00722652395965482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-05-01,NA,0.0489933469314066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-05-02,0.202037620425752,0.204157487026142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-05-03,0.0531730609284776,0.053858748989467,0.0498687653933217,0.0469257520926145,0.0428006054683585,0.036711753384174,0.0300089168952544,NA,NA,NA,NA,NA,0.0286925260927861,mendota
1995-05-04,0.0693015394332206,0.0699826322645614,0.0663951409073109,0.0637827759944019,0.0600515886218743,0.0545816312129106,0.0487496709495902,0.0484653707216522,0.0485143185247184,0.0485686673438595,0.0486105059247472,0.048647939129262,0.0488186089584148,mendota
1995-05-05,0.0225254936618679,0.0227596125921018,0.0216027312823716,0.0207511410700356,0.0195528822294395,0.0178947029042907,0.0161552306444011,0.0160806861735085,0.016048584245993,0.016051414281165,0.0160393988842839,0.0160172224666494,0.0153428849310452,mendota
1995-05-06,0.50066741757195,0.502882658097605,0.483692480733543,0.468399755504702,0.448666162873757,0.421913612560895,0.395073611060742,0.391726457233303,0.389205409816822,0.38799383316265,0.386406620536197,0.382404811915263,0.359544950737756,mendota
1995-05-07,0.0276023920933961,0.0277565808399572,0.0270812437690921,0.0266029686618206,0.0259360434148759,0.0250057793581136,0.0240658275078527,0.0240892589143357,0.0241576206396869,0.0242231215554162,0.0242788737789238,0.0243352600840549,0.0246638464959133,mendota
1995-05-08,0.011246537455561,0.0113427899343119,0.0109555583974357,0.0106901873833429,0.0103062930730081,0.0099063825014277,0.00953479439824956,0.00957321761424237,0.00961910491805779,0.00966352259683324,0.00970155025785926,0.00974247586539109,0.00995108770927492,mendota
1995-05-09,0.0406895244667471,0.040942439696704,0.0398238604736524,0.03899325657207,0.0378981555079235,0.036516501323916,0.035308047991461,0.0352226082912962,0.035012601414951,0.0351422714549909,0.0350606779615204,0.0349032062060445,0.0346713362229896,mendota
1995-05-10,0.204311175274217,0.20633647356935,0.202324847369917,0.200349590367073,0.197548129054688,0.193275520972306,0.189751914927079,0.191254464609663,0.193202355689201,0.19411658247048,0.194990541687573,0.196233209249779,0.204371833164583,mendota
1995-05-11,0.498703217116148,0.501994831805208,0.495916493700703,0.493069537683454,0.488708172223549,0.481172956587549,0.474866035090223,0.477374195972165,0.480526733070217,0.483108918968123,0.485585926549359,0.487965794448948,0.506288873520973,mendota
1995-05-12,0.0270416441786809,0.0273054665416766,0.0268618759292886,0.026663922185038,0.0263565639362719,0.0259186455262495,0.0257029855041903,0.0260241835152204,0.0263159348355904,0.0265964322099749,0.0268787311217365,0.0271633873792181,0.0296420472050644,mendota
1995-05-13,0.00680626803169168,0.00685463389011816,0.00678252283376109,0.00675492066942795,0.00670794442158307,0.00663812208232651,0.00660726382566747,0.00666975279199632,0.00672698025179947,0.0067821301798386,0.00683722760020873,0.0068935012844903,0.00738342919326631,mendota
1995-05-14,0.101689149488346,0.102371736562536,0.100912343435744,0.0993900811213399,0.0945427429621992,0.0904200675935218,0.0894385068597151,0.090905904778863,0.0927411034398442,0.0950425703106722,0.0962126785100298,0.0968770227497861,0.0971455776414663,mendota
1995-05-15,0.744519878446936,0.752991407641717,0.751062042352471,0.753227297526981,0.752820354758992,0.702508724902395,0.700561484913052,0.70655587218991,0.712185317590698,0.7182314436514,0.727091234941235,0.741565217170547,0.752749435178957,mendota
1995-05-16,0.0447295686253301,0.0449810361900276,0.044803125585103,0.044803140039405,0.0447286876765078,0.0445833904851893,0.0446087022613773,0.0450144551609897,0.0453547982690615,0.045666558114979,0.0459820209091625,0.0463226653992644,0.0492007245459983,mendota
1995-05-17,0.048904746152214,0.0491078589156515,0.0489586224565167,0.0489495386180294,0.0488771180114982,0.048744766815016,0.0487565223830638,0.0490834024213118,0.049364210384558,0.0496167088105065,0.0498700203315596,0.0501387737810991,0.0523833477404319,mendota
1995-05-18,0.758371163285388,0.75677822372156,0.750618513451107,0.746909628834348,0.742554218264188,0.737992455181262,0.736633371025121,0.740238919726449,0.743114639580414,0.745722657665036,0.748500584659459,0.751714876098167,0.781025098712013,mendota
1995-05-19,0.518429150108122,0.520087544092141,0.51780659006887,0.51673288275448,0.515027841814081,0.51286155862255,0.512344985996844,0.514860058019639,0.516791851870246,0.518561123998683,0.520336517675269,0.522192226881862,0.536744075437175,mendota
1995-05-20,0.225494299870456,0.226137815394025,0.225122818235989,0.224611456502568,0.223826914280631,0.222779557218983,0.222355262266831,0.223095735551069,0.223894573545038,0.224609614539225,0.225310161050827,0.226033935147743,0.23293089039059,mendota
1995-05-21,0.640025918255452,0.641524297628829,0.638242021267741,0.636769115668322,0.634559860112185,0.631461645867843,0.62991760801758,0.631570315771041,0.632513300460646,0.632751051795121,0.63341474528662,0.634403635920819,0.656717090994595,mendota
1995-05-22,0.916831571572791,0.918957326878757,0.915439904114027,0.913682109325359,0.910859511675694,0.906874179712819,0.905123530781696,0.907195894834089,0.908795319121447,0.910120555385095,0.911896967357662,0.913850079103492,0.925060488818826,mendota
1995-05-23,1.16887258373923,1.17107792610978,1.1667518150179,1.16442622523943,1.1606530426301,1.15500860855559,1.15165914181659,1.15262385755534,1.15398770122383,1.15491931084841,1.15667486746049,1.15854877231465,1.17149368213971,mendota
1995-05-24,1.59520038639954,1.59820607053371,1.59338769781601,1.59077629653394,1.58583879382793,1.57886649767923,1.57492606173477,1.57527406426282,1.57493044355376,1.57372787403686,1.57391353320544,1.57355444043745,1.58930330582467,mendota
1995-05-25,1.58091838844057,1.5852420467587,1.57953687451742,1.57709156914887,1.57280026595896,1.56594594045376,1.56227289823552,1.56488738349539,1.56794605974449,1.57191737194147,1.57637681223133,1.58100945159484,1.64370566973173,mendota
1995-05-26,1.50192519779035,1.50662404535292,1.50084748112895,1.49841115299741,1.49428607983869,1.4881426350576,1.48574581811071,1.49067758625623,1.49431031360883,1.49709280586168,1.50055474265157,1.50391808527481,1.53714199543722,mendota
1995-05-27,0.270085186672949,0.270639476929807,0.269703660914068,0.269246715232783,0.268537801024212,0.267508667843783,0.266978093590019,0.267364611504109,0.267634091619307,0.267841748961958,0.268143722191125,0.268392840893502,0.267278023107521,mendota
1995-05-28,0.871451792782514,0.87236383655104,0.870381179031575,0.867191412762452,0.862121410644614,0.854037507507177,0.849427728388154,0.850031705453973,0.851791770984273,0.853245892454984,0.854739548050811,0.856155572890183,0.852275721839123,mendota
1995-05-29,0.425312510784818,0.425999512120256,0.42456090249286,0.42374239066589,0.422576860784853,0.42089203403966,0.419959297336506,0.420328938847281,0.420514297270801,0.420630157550561,0.42079063643142,0.420894241492711,0.420305993466963,mendota
1995-05-30,2.41908462046261,2.42272103299881,2.41329171644235,2.40672842772491,2.3988701436222,2.38874305613481,2.38356741168128,2.38713500641485,2.39059910524849,2.39388548072954,2.39744534648106,2.40073935316805,2.40305067638578,mendota
1995-05-31,2.77085286742805,2.77436944936232,2.76376849380522,2.7558612979151,2.74683002996497,2.73539994236565,2.72914992999723,2.73288531074229,2.73677707669039,2.74039466444916,2.74413948504252,2.74738432960789,2.7464971962989,mendota
1995-06-01,9.01657072982948,9.026245945866,8.99621812537267,8.97351200561879,8.94669371330626,8.91242144661969,8.8928099098983,8.90057167224137,8.90822312430661,8.91558303216286,8.92336447420589,8.92950121832875,8.90280126478092,mendota
1995-06-02,6.53057058263546,6.53432315734907,6.51239095232157,6.49767430136755,6.48017038869797,6.45753502567148,6.44432369911739,6.44815192257477,6.45143264226844,6.45470308257672,6.4581023794912,6.45996916123215,6.41681858869836,mendota
1995-06-03,5.81469583735742,5.82251051643129,5.80082066741268,5.87022749210431,5.84766055180894,5.81738748493552,5.79167988971669,5.77480181705709,5.76618691673697,5.7700227297342,5.77363742939146,5.77547642048634,5.7228135549572,mendota
1995-06-04,3.73260524709126,3.74213673479947,3.73037161340984,3.72590525210647,3.71471566208375,3.69808016049951,3.68754251996744,3.68767910903974,3.68275044316623,3.67928742967709,3.67811471184706,3.67522555882062,3.61087237167697,mendota
1995-06-05,0.979174200775051,0.981506234487573,0.981384536039915,0.982762773733114,0.984515413424561,0.987377663154198,2.88397072372341,2.85807626980092,2.82878682362942,2.80848648885166,2.8042647667584,2.79798480069479,2.56776428559358,mendota
1995-06-06,0.99946267781417,1.00411097624253,1.00224726893508,1.00297937293621,1.00265705651543,1.00216496796226,1.00466190566441,1.01228986029499,1.01996207132106,1.0264533147357,1.03295626232686,1.03977898456745,1.08534383481455,mendota
1995-06-07,1.93941790555847,1.94567987719858,1.9421681211698,1.94238137622804,1.94109723121442,1.93934776283363,1.94208795757824,1.95246356128021,1.96303652607349,1.97213610898417,1.98139092499743,1.99115179781735,2.0654914398487,mendota
1995-06-08,0.609996422188681,0.611674370194013,0.610577308008192,0.610513806978329,0.61003164663911,0.609373311939135,0.609974080918245,0.612706222639835,0.615493380208318,0.617913900390472,0.620380055453343,0.622971410826222,0.643675275720351,mendota
1995-06-09,4.01963113280761,4.02824662937512,4.02038506920368,4.01797078769103,4.01325209587627,4.00727183502882,4.00824080150758,4.0209728163192,4.03415830404519,4.04564268520347,4.05742950924146,4.06979785061389,4.17077250665309,mendota
1995-06-10,1.50365545763461,1.5062871575846,1.50238875863979,1.50014572132439,1.49717295746592,1.49364499571511,1.49233764509645,1.49462485743298,1.49708089572956,1.49911476914625,1.50122388583547,1.50343389189803,1.52772006739904,mendota
1995-06-11,1.47749348391595,1.47994576631765,1.47673750021405,1.47514984330444,1.4728475153116,1.46998198840525,1.46913344653897,1.47155044548475,1.47398231140783,1.47588360562759,1.47774907665175,1.47952671486384,1.49787195686079,mendota
1995-06-12,2.22367822922043,2.22700206915284,2.22259916711387,2.22027144106348,2.21697249281076,2.21292673423711,2.21178127866711,2.21554099092986,2.21954429617915,2.22291717724413,2.22649596322959,2.23015019998945,2.26455819649522,mendota
