datetime,dens_null_GLM,dens_01_GLM,dens_05_GLM,dens_1_GLM,dens_15_GLM,dens_2_GLM,dens_25_GLM,dens_3_GLM,dens_35_GLM,dens_4_GLM,dens_45_GLM,dens_5_GLM,dens_10_GLM,id
2005-05-19,0.158935546875,0.1593017578125,0.081298828125,0.08477783203125,0.0888671875,0.09075927734375,0.0943603515625,0.096435546875,0.9688720703125,0.87506103515625,0.1085205078125,0.11749267578125,1.46929931640625,monona
2005-05-20,0.2894287109375,0.2373046875,0.12744140625,0.13873291015625,0.233642578125,0.23956298828125,0.20074462890625,0.2193603515625,1.1279296875,1.01873779296875,0.2574462890625,0.23956298828125,1.6292724609375,monona
2005-05-21,0.3033447265625,0.27337646484375,0.14996337890625,0.16278076171875,0.259765625,0.263671875,0.28125,0.2779541015625,1.1934814453125,1.0712890625,0.30084228515625,0.33135986328125,1.7454833984375,monona
2005-05-22,0.3404541015625,0.31793212890625,0.1907958984375,0.2071533203125,0.30523681640625,0.31280517578125,0.33367919921875,0.33905029296875,1.25494384765625,1.16729736328125,0.38311767578125,0.40106201171875,1.85125732421875,monona
2005-05-23,0.3963623046875,0.33197021484375,0.21173095703125,0.22802734375,0.31561279296875,0.3369140625,0.34295654296875,0.3631591796875,1.23992919921875,1.19598388671875,0.38494873046875,0.465087890625,1.92578125,monona
2005-05-24,0.43377685546875,0.3795166015625,0.28021240234375,0.27899169921875,0.3702392578125,0.38824462890625,0.39605712890625,0.4132080078125,1.360595703125,1.2806396484375,0.43878173828125,0.521728515625,2.04541015625,monona
2005-05-25,0.515869140625,0.52191162109375,0.3792724609375,0.43267822265625,0.46710205078125,0.50213623046875,0.51226806640625,0.52056884765625,1.4735107421875,1.3917236328125,0.551025390625,0.64508056640625,2.1053466796875,monona
2005-05-26,0.555419921875,0.5234375,0.42193603515625,0.4866943359375,0.52130126953125,0.5469970703125,0.572265625,0.59283447265625,1.51837158203125,1.454345703125,0.623779296875,0.71710205078125,2.208984375,monona
2005-05-27,0.61871337890625,0.57525634765625,0.45721435546875,0.48114013671875,0.55059814453125,0.557861328125,0.5723876953125,0.5914306640625,1.61114501953125,1.51953125,0.7042236328125,0.8134765625,2.3389892578125,monona
2005-05-28,0.59149169921875,0.53680419921875,0.4344482421875,0.46044921875,0.542724609375,0.5545654296875,0.5709228515625,0.5953369140625,1.55712890625,1.507080078125,0.69683837890625,0.7813720703125,2.2904052734375,monona
2005-05-29,0.59417724609375,0.53717041015625,0.433837890625,0.4580078125,0.55316162109375,0.57012939453125,0.5799560546875,0.6002197265625,1.5623779296875,1.51324462890625,0.69927978515625,0.792724609375,2.32708740234375,monona
2005-05-30,0.6153564453125,0.56121826171875,0.490966796875,0.48333740234375,0.59033203125,0.61151123046875,0.62841796875,0.65191650390625,1.62335205078125,1.5623779296875,0.7567138671875,0.84161376953125,2.41070556640625,monona
2005-05-31,0.62298583984375,0.57452392578125,0.48150634765625,0.50244140625,0.6103515625,0.614013671875,0.64715576171875,0.67218017578125,1.62786865234375,1.58416748046875,0.78790283203125,0.877685546875,2.462158203125,monona
2005-06-01,0.89697265625,0.6380615234375,0.80029296875,0.81390380859375,0.92059326171875,0.95684814453125,0.99041748046875,1.01214599609375,1.98309326171875,1.93121337890625,1.1378173828125,1.241455078125,2.53009033203125,monona
2005-06-02,0.9449462890625,0.82513427734375,0.7000732421875,0.74945068359375,0.8558349609375,0.81884765625,0.912109375,0.98870849609375,1.93524169921875,1.86212158203125,1.20709228515625,1.21533203125,2.718994140625,monona
2005-06-03,0.97271728515625,0.909423828125,0.80084228515625,0.86248779296875,0.95440673828125,0.93731689453125,1.01141357421875,1.1085205078125,2.07867431640625,2.0001220703125,1.31463623046875,1.35845947265625,2.83251953125,monona
2005-06-04,1.005859375,0.93994140625,0.79168701171875,0.90594482421875,1.0113525390625,0.948486328125,1.06134033203125,1.1494140625,2.1019287109375,2.015625,1.356201171875,1.33770751953125,2.87884521484375,monona
2005-06-05,1.0343017578125,0.939697265625,0.910400390625,0.81341552734375,0.884765625,1.04034423828125,1.14154052734375,1.233642578125,2.24395751953125,2.12408447265625,1.47491455078125,1.35650634765625,3.044921875,monona
2005-06-06,1.20697021484375,1.01458740234375,1.066650390625,0.8939208984375,0.96759033203125,1.1915283203125,1.3199462890625,1.36541748046875,2.42236328125,2.29150390625,1.5106201171875,1.3948974609375,3.22271728515625,monona
2005-06-07,1.37811279296875,1.1800537109375,1.20697021484375,1.11346435546875,1.1890869140625,1.398681640625,1.4976806640625,1.55255126953125,2.60565185546875,2.47607421875,1.68896484375,1.611328125,3.4437255859375,monona
2005-06-08,1.50189208984375,1.330322265625,1.35272216796875,1.21844482421875,1.30145263671875,1.5755615234375,1.67193603515625,1.69573974609375,2.65240478515625,2.634033203125,1.84832763671875,1.7650146484375,3.597412109375,monona
2005-06-09,1.79095458984375,1.59002685546875,1.5672607421875,1.45538330078125,1.5262451171875,1.80035400390625,2.01922607421875,2.01715087890625,2.7110595703125,2.87896728515625,1.891357421875,1.91656494140625,3.8809814453125,monona
2005-06-10,1.76910400390625,1.5697021484375,1.5755615234375,1.470458984375,1.54498291015625,1.79254150390625,1.935546875,2.039306640625,2.70758056640625,2.89202880859375,1.91705322265625,2.13507080078125,3.89599609375,monona
2005-06-11,2.06658935546875,1.9993896484375,1.96063232421875,1.9217529296875,1.947265625,2.18621826171875,2.3074951171875,2.47186279296875,3.13726806640625,3.16229248046875,2.2938232421875,2.43768310546875,4.25830078125,monona
2005-06-12,2.080810546875,1.994140625,1.8172607421875,1.89093017578125,1.98345947265625,2.09039306640625,2.287841796875,2.2747802734375,3.11627197265625,3.28045654296875,2.31329345703125,2.59423828125,4.26422119140625,monona
2005-06-13,2.20245361328125,2.2855224609375,2.0120849609375,2.05230712890625,2.17962646484375,2.354736328125,2.4930419921875,2.473876953125,3.40625,3.52667236328125,2.64959716796875,2.861328125,4.578857421875,monona
2005-06-14,2.3707275390625,2.29486083984375,2.1143798828125,2.13262939453125,2.199462890625,2.4453125,2.56097412109375,2.55999755859375,3.47625732421875,3.51080322265625,2.57794189453125,2.8585205078125,4.65850830078125,monona
2005-06-15,2.15325927734375,2.06915283203125,1.92718505859375,1.97021484375,2.09735107421875,2.2003173828125,2.36260986328125,2.398681640625,3.25592041015625,3.37249755859375,2.46466064453125,2.6724853515625,4.47381591796875,monona
2005-06-16,1.9251708984375,1.83538818359375,1.7509765625,1.778076171875,1.89300537109375,2.008056640625,2.13055419921875,2.17193603515625,3.04229736328125,3.1087646484375,2.25238037109375,2.36529541015625,4.258544921875,monona
2005-06-17,1.84527587890625,1.7677001953125,1.710205078125,1.72442626953125,1.81732177734375,1.9615478515625,2.07159423828125,2.11663818359375,2.9892578125,3.05047607421875,2.2086181640625,2.3138427734375,4.2138671875,monona
2005-06-18,1.81158447265625,1.7164306640625,1.699951171875,1.68902587890625,1.7724609375,1.920654296875,2.0318603515625,2.08349609375,2.96337890625,3.00799560546875,2.184814453125,2.28289794921875,4.19268798828125,monona
2005-06-19,1.82122802734375,1.69525146484375,1.70062255859375,1.7061767578125,1.78936767578125,1.911865234375,2.0648193359375,2.1002197265625,2.97930908203125,3.02728271484375,2.21636962890625,2.31634521484375,4.22845458984375,monona
2005-06-20,1.9251708984375,1.8173828125,1.8134765625,1.827880859375,1.91162109375,2.02783203125,2.1510009765625,2.200439453125,3.0960693359375,3.11749267578125,2.3245849609375,2.41754150390625,4.396484375,monona
2005-06-21,1.9395751953125,1.83453369140625,1.83544921875,1.88916015625,1.98883056640625,2.06341552734375,2.191650390625,2.205810546875,3.15936279296875,3.23931884765625,2.344970703125,2.513916015625,4.42913818359375,monona
2005-06-22,2.1474609375,2.0849609375,2.015625,2.0426025390625,2.216796875,2.22021484375,2.34515380859375,2.47265625,3.2091064453125,3.23468017578125,2.46600341796875,2.64215087890625,4.70587158203125,monona
