datetime,ssi_null_GLM,ssi_01_GLM,ssi_05_GLM,ssi_1_GLM,ssi_15_GLM,ssi_2_GLM,ssi_25_GLM,ssi_3_GLM,ssi_35_GLM,ssi_4_GLM,ssi_45_GLM,ssi_5_GLM,ssi_10_GLM,id
2012-07-12,832.894914153704,796.538317885201,854.600729788477,710.546162244933,855.970830159203,867.100728359548,830.841173861072,939.550471909429,952.300302089149,924.103184384952,946.699658597698,853.195803040585,985.372558503121,mendota
2012-07-13,820.824858683592,787.776462288482,846.544469900206,706.72802595213,848.546419211037,860.921682144798,823.04928814532,932.747532284593,945.364873784836,915.862200800326,940.915567783997,846.484649470535,980.414616032769,mendota
2012-07-14,780.802906105941,761.090733076329,815.478632453378,683.628195221996,823.247848532491,837.250930925736,796.76017692228,908.327848578519,919.350610124719,882.432074014785,917.32006545833,822.545742083012,954.378102880318,mendota
2012-07-15,790.494734059922,772.315455292074,831.386978840424,704.618327881416,834.132088673284,856.154668380311,809.904604336008,924.401088371189,932.49907431421,896.412879777357,933.720338235809,832.882621060003,972.214242706412,mendota
2012-07-16,828.096258941578,808.606980492692,864.76486017541,743.424178967941,873.045922424488,893.387875067757,844.159871759913,954.449872946575,968.837763820729,933.679754340358,965.265712189122,872.83030281921,1005.25545690147,mendota
2012-07-17,830.667538813495,808.073237856299,863.913513241344,738.420059946848,860.362215920399,874.579542428488,826.208631292406,947.950264354658,968.343673162893,932.293558760536,960.891556123147,870.018323848243,1010.39749173485,mendota
2012-07-18,851.398934567786,847.761587176728,906.520127401429,784.733999807372,901.408040360166,925.157732913531,868.869294750794,989.516431025897,1003.43591221144,971.172493546251,996.316638782713,910.700832849434,1054.81401843278,mendota
2012-07-19,854.967593631748,846.810563520988,907.905463845597,787.17292842311,905.140883946984,921.552374271819,867.446811004017,988.807964034653,1005.0064244995,973.168758724976,995.531785931983,910.571117809653,1052.08034831048,mendota
2012-07-20,782.062021965865,798.758014210316,847.156829998688,705.2844565956,844.96315111952,893.414853589308,809.908987944916,932.019453272323,920.584456085921,891.413327757426,963.176356714819,872.628727740741,969.70288593185,mendota
2012-07-21,779.502792918688,784.243353713112,839.479207539626,704.461203521966,839.487676369259,881.73525045003,802.000439051144,923.05429610408,916.38399526021,887.675537773699,951.397646841676,860.94388261194,959.90201498275,mendota
2012-07-22,742.492743004067,715.813250276936,804.135555493564,660.3064500304,789.501314493743,846.049955754772,762.170010608671,888.033211798788,879.298974519004,845.542220933051,904.145770645098,833.665318425236,913.163778796159,mendota
2012-07-23,738.779703586809,708.036195339935,793.253541083752,654.633945581522,780.420600981915,835.134929350236,755.329812669338,879.172217563294,876.214013842847,841.696526009887,895.217652103515,818.858882251093,896.353445873083,mendota
2012-07-24,770.470877183364,738.839379808454,820.155313145326,692.689818790966,823.894419425842,874.367251934803,783.627495913768,907.366217165597,914.991971873827,869.295101778613,920.285384473767,839.568161195593,921.205632948962,mendota
2012-07-25,770.985936333886,740.102138220267,819.248116955015,698.584960902071,822.11716513701,869.004103160494,783.114527386185,907.37253316345,912.82372979952,870.521617774053,919.80965508112,839.948000533361,926.071195988768,mendota
2012-07-26,717.973215683856,617.574951874634,812.993921894555,677.995548725017,734.259291988658,851.060782044939,755.789219783213,857.610219473244,899.439433589898,770.950691111851,867.344084406759,673.510680725415,890.257513933184,mendota
2012-07-27,736.309458563194,636.175913454732,821.42876382597,692.556230436208,745.72512456974,856.52762648348,771.707462973164,869.838423608847,911.982763927215,792.351326250702,875.488176572785,685.038997147773,902.28820358985,mendota
2012-07-28,714.612630528233,617.696782617003,795.361410775463,667.511098895276,732.198661717127,832.345895925085,747.520800739948,848.460543772921,884.996205820459,770.582407393361,859.428667651651,670.045020557845,883.650886934972,mendota
2012-07-29,742.994690285315,650.793284983161,821.034158549678,694.552346038508,766.876037721688,857.51466753817,774.169660497547,876.327455267281,911.982546950037,803.522886380039,889.77834094806,701.38271404504,914.73923301662,mendota
2012-07-30,716.775150582201,626.144326114524,790.653223104653,665.475416506726,742.943348884122,826.251982199224,744.932940235071,846.805709937944,881.996503598374,778.689284518202,862.405268046459,678.330565713,890.212832702123,mendota
2012-07-31,737.469500574503,647.726995397725,808.306027695898,684.981218528856,764.013722737839,847.385427358533,764.923783918166,863.257023330156,897.845748876138,800.021458797244,885.335551639342,698.318057008518,913.462370048718,mendota
2012-08-01,743.298045039819,659.663683859738,810.37579687623,687.63358997125,771.020382498399,846.222428583588,769.805731687294,869.933728410394,901.72251264884,805.471526332904,885.206153830076,708.841747416246,914.079870516345,mendota
2012-08-02,733.851422772533,651.916969527456,798.169303369375,673.856062102626,760.956334249987,831.66418792952,758.726052381424,859.461194278562,890.422572465293,795.33147803755,872.342040519559,702.277426880855,902.028106063057,mendota
2012-08-03,739.695537896611,659.612655167246,796.890463954084,679.356156915559,767.449753013873,823.896230593852,762.5403434742,865.805334555396,896.28630440107,802.924719052745,872.263801346348,704.955523205129,905.754840365878,mendota
2012-08-04,737.335552883028,664.953430552881,790.739180644079,676.04773095232,762.570863816726,834.562302500692,755.45929732565,852.15268640428,882.750373378529,790.930827172562,878.835707143159,700.385201281868,895.789117995145,mendota
2012-08-05,732.479986765661,659.888025474966,784.619917481414,670.755055404047,758.7600061665,829.70592106955,756.952279099945,848.210638227662,872.993820632065,791.364031740034,873.949890140156,702.573909076524,895.951373139196,mendota
2012-08-06,608.243872885215,601.744999070842,733.567139304496,538.83038369197,674.809660702742,691.961226937993,700.04682006743,781.171452204188,822.384162611179,745.498621492341,783.575467280404,624.759086874037,851.135438009201,mendota
2012-08-07,601.08782575994,590.601450217561,710.605374792734,520.455279160748,661.588190611303,678.895405112436,677.867002808544,763.412565711398,801.168451998763,730.013504231253,767.625080279722,611.910637990272,827.392843951208,mendota
2012-08-08,589.661762772894,577.618458425725,672.205817252667,507.914910275838,648.738330665803,675.411306469583,660.555495513684,750.565134364288,787.231651870114,721.591039653421,759.797958201354,598.451231014196,815.286646821642,mendota
2012-08-09,580.203534890725,563.726793673511,629.622417916143,490.686612240596,637.171796956258,655.353429103251,633.075140723781,736.923471388542,769.568384636702,704.657149709625,746.073829063889,591.253665089136,798.929449323229,mendota
2012-08-10,516.746280824195,510.19819298451,543.536284294202,419.991072791477,579.439339498355,565.192835417835,529.769798571467,689.433392487215,715.90556325992,662.374938734572,705.154647777607,545.513697968307,751.855835048003,mendota
2012-08-11,469.344605920725,471.364971295783,505.07015461161,379.151541018117,537.984611052017,523.466259289559,493.16134637157,639.341430593573,669.663268325025,603.41958614708,660.781459843367,509.399235649873,711.684828251678,mendota
2012-08-12,451.556080187744,448.69370500225,485.843044054915,365.144186596396,519.533489636401,505.144143834961,476.122089812242,607.559395454402,634.248970178473,578.483896501046,632.975444354687,490.360415052067,680.513744588402,mendota
2012-08-13,435.710199204954,428.455837507462,468.26388486175,352.113243143986,504.149815630477,486.738717462758,460.02125571718,584.59950658666,609.251756182936,559.611772154273,612.774429877917,475.969144124376,656.020424221022,mendota
2012-08-14,427.992855523981,419.460454867635,459.693715295214,345.808974675779,496.062520326822,479.35677453796,452.214569242013,571.966105125977,597.187930738931,549.347894008792,601.554560210858,468.029761622826,644.548843326105,mendota
2012-08-15,435.793571318358,424.614191743139,466.699066173251,354.976976077004,502.658063225184,487.578399789211,460.136500584373,572.991130013104,598.742227556722,552.880238945229,604.415711314286,474.374355087486,646.319865406077,mendota
2012-08-16,423.761285974034,412.251678127747,457.431923313947,341.17920634587,491.730727000227,474.729470900724,450.905365630381,562.2855829276,588.093329365751,541.357550896763,592.688169948194,461.939328978806,635.153801308578,mendota
2012-08-17,414.947840406913,339.460753168349,445.089061433582,333.034632075855,481.321042681657,466.122310000135,438.212926978385,381.389308456987,532.930498919341,507.876523471351,460.101462480909,421.603669355974,621.234811860545,mendota
2012-08-18,399.071289198053,320.874866222502,429.248199702171,322.48578417196,467.231942742088,453.914577100191,425.029148976576,328.018693481991,518.207164157018,491.92189747857,425.111248168372,409.934649651234,602.386544521146,mendota
2012-08-19,415.834909925599,339.813790713506,445.157028467868,341.654934423282,483.488429402579,471.386331635209,441.822215158313,348.156660539133,534.314090426446,508.127030966935,442.867909789626,427.996046243496,616.199041793499,mendota
2012-08-20,407.293189795429,330.46769539292,436.704077033825,331.783115933652,474.757048936301,461.97963108014,433.342385954784,343.254707279694,525.872127136006,497.759703266967,436.141011596905,419.908490275494,605.523619030873,mendota
2012-08-21,406.617197422014,330.570819275527,435.827258732231,331.681262974563,473.866595204735,461.49871152278,432.738179037518,344.908157614913,525.091524218469,496.668555503966,436.838750735937,419.697219938875,603.450404524864,mendota
