datetime,ssi_null,ssi_01,ssi_05,ssi_1,ssi_15,ssi_2,ssi_25,ssi_3,ssi_35,ssi_4,ssi_45,ssi_5,ssi_10,id
1998-05-08,118.202923296607,124.341892337177,118.205382437532,121.735271127849,116.122096671909,116.779955492443,110.087106817085,112.394724581507,103.160124145813,109.690683033877,106.850745371039,111.953323026972,113.489626677736,mendota
1998-05-09,133.081692155359,144.6212741902,139.465404261179,140.959606265784,136.236873823364,136.125422585016,131.824735333383,132.539770720915,120.430683831996,131.249768876533,127.155150038487,134.323063606997,136.335114367097,mendota
1998-05-10,145.50006997039,158.021718705039,150.542641103289,152.361552544145,147.288019004741,147.087534007208,142.287954499534,143.420891739765,133.551007072575,142.052204701904,140.425089410937,145.927342898567,151.774768637913,mendota
1998-05-11,153.380005785175,168.241132356222,159.818222545514,161.048244659042,156.214774614963,157.458708932142,153.130586805718,151.573724172321,143.56292658765,151.911563290289,150.939529569749,153.89644083049,160.212751294692,mendota
1998-05-12,171.896039099149,187.467401064775,177.66266656718,180.189995974771,175.317623399969,175.222171287507,172.102761188797,168.886077769632,162.67432113531,168.127702135572,169.927488821167,172.892118372254,177.63233458349,mendota
1998-05-13,168.352877211865,183.100390786024,171.420206839249,179.340724548266,174.102759024789,173.280416477265,168.735729545377,170.750278103821,161.466527687546,168.592618212586,166.418597705103,171.610581218747,177.105212035926,mendota
1998-05-14,197.506009292033,208.510877839685,197.770320398962,207.08100939723,202.572795189731,199.333469019024,192.839398460045,195.819687197877,184.956720396835,193.169287112979,191.187793548995,194.80453006342,204.435534944998,mendota
1998-05-15,214.670072781736,224.58964401307,215.461140320223,223.817080086364,216.756418119976,215.599728558322,207.561330352607,214.275394216791,203.202716431293,212.520301540774,209.137977321508,213.677969535512,227.25876797624,mendota
1998-05-16,237.394423134969,249.283144383915,240.335421526312,251.999608488262,249.204766924268,246.753600914802,237.468886025099,243.311897945109,231.222440196312,244.276814914058,237.138415543635,243.766344757028,266.159233649001,mendota
1998-05-17,214.151961192483,259.666432753303,252.835789062158,261.153728509606,260.738231322155,258.246337618926,250.456410119297,251.03249037087,243.039411990146,257.710233714407,250.890214102982,256.589583341835,280.956154976147,mendota
1998-05-18,239.252120173968,277.224306128032,273.219899683414,284.907738137139,279.269370781208,278.208180657316,272.946517883513,274.010663598719,264.397857515312,277.145130362717,272.032225610727,279.734895264014,300.990610121352,mendota
1998-05-19,279.532658557228,307.880310458298,315.923674910607,324.308979187364,320.103814095144,320.371378471862,314.554450365813,314.960589458139,302.245870132087,312.888924823169,312.747805697659,318.702535279877,337.882481748824,mendota
1998-05-20,327.61728175711,355.595504585783,363.318030457603,372.540481345482,365.96249970645,368.515702077745,362.108373418983,362.510846346058,350.128701102561,360.966675242325,360.941635586924,366.140074264929,385.133238211684,mendota
1998-05-21,335.386086304666,363.445783129093,371.768763606013,377.252616232158,376.133162967966,377.12926766328,368.197756008163,369.023478904797,357.644097009545,366.253653088355,369.081841348817,372.714996404335,389.66388771086,mendota
1998-05-22,325.56517471455,351.734407698305,359.496807260091,365.838146485178,362.769802054426,364.168630193876,356.906016448732,357.588165575658,346.185900564856,355.237992442638,357.012436411101,360.96035183622,377.186675527501,mendota
1998-05-23,289.387674444646,316.001294697184,316.604147064662,327.969790267518,324.041121446307,325.955388601951,319.359575616146,319.462601987384,310.918639275732,321.676961422856,316.578145121272,324.648102541796,341.502253584728,mendota
